index,stock_idx,score,stock_ticker,time_period
25,25,3.93351,Unknown-25,2
39,9,3.3811,ORCL,3
58,28,3.42483,Unknown-28,5
68,8,3.3226,ALLE,6
78,18,3.50203,Unknown-18,7
97,7,2.8849,DLR,9
107,17,2.70432,Unknown-17,10
135,15,4.03662,Unknown-15,13
173,23,2.64884,Unknown-23,17
192,12,3.03844,Unknown-12,19
196,16,2.78273,Unknown-16,19
202,22,2.77261,Unknown-22,20
212,2,3.21037,HAL,21
283,13,3.88509,Unknown-13,28
293,23,3.76171,Unknown-23,29
303,3,3.82904,STZ,30
435,15,4.81386,Unknown-15,43
445,25,4.70271,Unknown-25,44
455,5,4.74731,LLY,45
559,19,3.36787,Unknown-19,55
566,26,2.89612,Unknown-26,56
569,29,3.27728,Unknown-29,56
589,19,3.50576,Unknown-19,58
591,21,2.61561,Unknown-21,59
596,26,2.69429,Unknown-26,59
629,29,3.04769,Unknown-29,62
709,19,3.80393,Unknown-19,70
719,29,3.77051,Unknown-29,71
729,9,3.39189,ORCL,72
733,13,3.39028,Unknown-13,73
737,17,3.08281,Unknown-17,73
738,18,3.92669,Unknown-18,73
743,23,3.30601,Unknown-23,74
747,27,2.69275,Unknown-27,74
748,28,3.79285,Unknown-28,74
753,3,3.62364,STZ,75
757,7,2.89907,DLR,75
758,8,3.9244,ALLE,75
796,16,2.58478,Unknown-16,79
941,11,2.70391,Unknown-11,94
956,26,2.65159,Unknown-26,95
961,1,2.97237,TECH,96
966,6,2.70521,NWS,96
976,16,3.31612,Unknown-16,97
1009,19,3.07836,Unknown-19,100
1029,9,3.0615,ORCL,102
1039,19,2.94946,Unknown-19,103
1071,21,3.48709,Unknown-21,107
1081,1,3.69697,TECH,108
1091,11,3.82737,Unknown-11,109
1207,7,2.63638,DLR,120
1266,6,2.66832,NWS,126
1292,2,3.45878,HAL,129
1296,6,3.45451,NWS,129
1298,8,3.30422,ALLE,129
1302,12,3.30817,Unknown-12,130
1303,13,3.10025,Unknown-13,130
1306,16,3.3329,Unknown-16,130
1308,18,3.22115,Unknown-18,130
1312,22,3.5221,Unknown-22,131
1313,23,3.06064,Unknown-23,131
1316,26,3.55934,Unknown-26,131
1317,27,2.65095,Unknown-27,131
1318,28,3.40348,Unknown-28,131
1324,4,2.79197,BG,132
1325,5,2.9922,LLY,132
1334,14,2.82946,Unknown-14,133
1335,15,2.91501,Unknown-15,133
1338,18,2.6466,Unknown-18,133
1344,24,3.11482,Unknown-24,134
1345,25,3.13508,Unknown-25,134
1348,28,2.86941,Unknown-28,134
1398,18,3.32157,Unknown-18,139
1408,28,2.82265,Unknown-28,140
1418,8,3.06664,ALLE,141
1419,9,4.17619,ORCL,141
1429,19,4.07856,Unknown-19,142
1439,29,3.24259,Unknown-29,143
1704,24,3.03934,Unknown-24,170
1714,4,2.90263,BG,171
1762,22,3.25092,Unknown-22,176
1772,2,3.12284,HAL,177
1782,12,3.39558,Unknown-12,178
1825,25,2.72955,Unknown-25,182
1835,5,2.82874,LLY,183
1917,27,2.99619,Unknown-27,191
1927,7,2.87361,DLR,192
2089,19,3.89188,Unknown-19,208
2099,29,3.74289,Unknown-29,209
2109,9,2.62851,ORCL,210
2114,14,3.54394,Unknown-14,211
2116,16,3.45813,Unknown-16,211
2134,4,3.2724,BG,213
2136,6,3.32812,NWS,213
2143,13,2.68154,Unknown-13,214
2144,14,3.43082,Unknown-14,214
2146,16,3.54665,Unknown-16,214
2236,16,4.00098,Unknown-16,223
2323,13,2.89202,Unknown-13,232
2333,23,2.75459,Unknown-23,233
2473,13,3.24376,Unknown-13,247
2475,15,2.90948,Unknown-15,247
2481,21,2.72881,Unknown-21,248
2483,23,3.12206,Unknown-23,248
2485,25,2.96654,Unknown-25,248
2493,3,3.38467,STZ,249
2495,5,3.0761,LLY,249
2501,11,2.79597,Unknown-11,250
2537,17,4.39111,Unknown-17,253
