index,stock_idx,score,stock_ticker,time_period
2547,27,4.42273,Unknown-27,254
2557,7,4.54362,DLR,255
2589,9,4.10355,ORCL,258
2599,19,3.89787,Unknown-19,259
2609,29,3.95482,Unknown-29,260
2717,17,2.92649,Unknown-17,271
2727,27,3.01758,Unknown-27,272
2737,7,3.18957,DLR,273
2809,19,2.93595,Unknown-19,280
2819,29,2.94667,Unknown-29,281
2862,12,3.58378,Unknown-12,286
2864,14,2.74563,Unknown-14,286
2866,16,5.28425,Unknown-16,286
2867,17,2.74205,Unknown-17,286
2872,22,3.41897,Unknown-22,287
2874,24,2.80112,Unknown-24,287
2876,26,5.17632,Unknown-26,287
2877,27,2.79882,Unknown-27,287
2882,2,3.58217,HAL,288
2884,4,2.6241,BG,288
2886,6,5.17557,NWS,288
2887,7,2.90598,DLR,288
2904,24,5.91592,Unknown-24,290
2921,11,4.00022,Unknown-11,292
2928,18,4.53585,Unknown-18,292
2929,19,3.47069,Unknown-19,292
2931,21,3.63836,Unknown-21,293
2938,28,4.4524,Unknown-28,293
2939,29,3.37679,Unknown-29,293
2941,1,3.75167,TECH,294
2944,4,3.17153,BG,294
2948,8,4.55501,ALLE,294
2949,9,3.58213,ORCL,294
2964,24,3.06523,Unknown-24,296
2968,28,2.69874,Unknown-28,296
2978,8,2.72581,ALLE,297
2988,18,3.00085,Unknown-18,298
2998,28,3.63384,Unknown-28,299
3008,8,3.52662,ALLE,300
3012,12,2.94971,Unknown-12,301
3014,14,5.78351,Unknown-14,301
3026,26,3.16909,Unknown-26,302
3028,28,3.68745,Unknown-28,302
3036,6,3.04995,NWS,303
3046,16,3.27706,Unknown-16,304
3065,5,2.92658,LLY,306
3075,15,2.77582,Unknown-15,307
3122,2,2.92383,HAL,312
3124,4,5.88628,BG,312
3164,14,2.87725,Unknown-14,316
3174,24,2.73721,Unknown-24,317
3184,4,2.79833,BG,318
3232,22,3.25476,Unknown-22,323
3233,23,3.04563,Unknown-23,323
3346,16,3.86968,Unknown-16,334
3353,23,3.002,Unknown-23,335
3427,7,2.6177,DLR,342
3437,17,2.77301,Unknown-17,343
3463,13,3.20331,Unknown-13,346
3489,9,2.82032,ORCL,348
3499,19,2.64637,Unknown-19,349
3560,20,2.77664,Unknown-20,356
3563,23,3.01567,Unknown-23,356
3564,24,3.97899,Unknown-24,356
3565,25,4.00257,Unknown-25,356
3566,26,3.6352,Unknown-26,356
3567,27,3.91497,Unknown-27,356
3568,28,2.93404,Unknown-28,356
3580,10,2.88973,Unknown-10,358
3583,13,2.79745,Unknown-13,358
3584,14,3.73883,Unknown-14,358
3585,15,3.84155,Unknown-15,358
3586,16,3.60175,Unknown-16,358
3587,17,3.80291,Unknown-17,358
3588,18,2.62693,Unknown-18,358
3590,20,3.06832,Unknown-20,359
3594,24,3.75955,Unknown-24,359
3595,25,3.90822,Unknown-25,359
3596,26,3.70633,Unknown-26,359
3597,27,3.87624,Unknown-27,359
3622,22,2.59003,Unknown-22,362
3784,4,4.69395,BG,378
3804,24,4.54447,Unknown-24,380
3814,4,4.60724,BG,381
3847,7,3.97967,DLR,384
3857,17,3.90983,Unknown-17,385
3867,27,3.92577,Unknown-27,386
3875,5,4.71303,LLY,387
3885,15,4.59471,Unknown-15,388
3895,25,4.61576,Unknown-25,389
3933,3,2.89798,STZ,393
3937,7,3.37771,DLR,393
3943,13,2.85141,Unknown-13,394
3947,17,3.3117,Unknown-17,394
3953,23,3.13115,Unknown-23,395
3957,27,3.54796,Unknown-27,395
4079,29,3.02697,Unknown-29,407
4098,18,2.67594,Unknown-18,409
4189,19,2.67856,Unknown-19,418
4274,14,3.93796,Unknown-14,427
4284,24,3.87683,Unknown-24,428
4294,4,3.97879,BG,429
4295,5,2.7073,LLY,429
4304,14,3.30819,Unknown-14,430
4314,24,3.08726,Unknown-24,431
4324,4,3.20892,BG,432
4403,23,4.38443,Unknown-23,440
4413,3,4.34389,STZ,441
4423,13,4.40617,Unknown-13,442
4425,15,2.74803,Unknown-15,442
4435,25,2.84641,Unknown-25,443
4445,5,3.06243,LLY,444
4456,16,4.01576,Unknown-16,445
4489,19,2.64563,Unknown-19,448
4499,29,3.40708,Unknown-29,449
4509,9,3.33157,ORCL,450
4527,27,4.19405,Unknown-27,452
4529,29,3.57872,Unknown-29,452
4537,7,4.07144,DLR,453
4539,9,3.43736,ORCL,453
4547,17,4.11369,Unknown-17,454
4549,19,3.67685,Unknown-19,454
4616,26,2.69282,Unknown-26,461
4693,13,2.65949,Unknown-13,469
4703,23,2.63654,Unknown-23,470
4713,3,3.03936,STZ,471
4807,7,2.60458,DLR,480
4942,22,3.71929,Unknown-22,494
4943,23,3.32244,Unknown-23,494
4944,24,4.74879,Unknown-24,494
4946,26,3.55221,Unknown-26,494
4947,27,3.44636,Unknown-27,494
4952,2,3.63842,HAL,495
4953,3,3.22142,STZ,495
4954,4,4.6332,BG,495
4956,6,3.31557,NWS,495
4957,7,3.3175,DLR,495
4961,11,2.83682,Unknown-11,496
4962,12,3.6042,Unknown-12,496
4963,13,3.40494,Unknown-13,496
4964,14,4.67248,Unknown-14,496
4966,16,3.51641,Unknown-16,496
4967,17,3.54908,Unknown-17,496
4968,18,2.62051,Unknown-18,496
4981,1,3.57912,TECH,498
4991,11,3.50954,Unknown-11,499
5001,21,3.36894,Unknown-21,500
5060,20,2.86948,Unknown-20,506
5098,28,2.66982,Unknown-28,509
5165,5,2.60085,LLY,516
5175,15,2.76689,Unknown-15,517
5233,13,2.92198,Unknown-13,523
5324,14,4.18388,Unknown-14,532
5329,19,2.6704,Unknown-19,532
5334,24,4.02819,Unknown-24,533
5344,4,4.06523,BG,534
5355,15,4.12957,Unknown-15,535
5368,28,3.24273,Unknown-28,536
5378,8,3.11694,ALLE,537
5388,18,3.32081,Unknown-18,538
5424,24,2.87236,Unknown-24,542
5434,4,2.86184,BG,543
5449,19,3.25689,Unknown-19,544
5459,29,3.27884,Unknown-29,545
