index,subsequence_idx,score
3,3,1.92245
4,4,2.40684
5,5,1.87844
34,34,2.36779
35,35,2.75861
36,36,1.90551
66,66,2.84383
67,67,2.83906
116,116,1.88169
189,189,1.89851
190,190,1.95898
192,192,2.80125
193,193,2.64881
194,194,2.23205
195,195,1.92713
226,226,1.91797
227,227,1.98841
228,228,2.6885
229,229,2.57723
230,230,2.10929
259,259,2.27933
260,260,1.9897
303,303,2.0374
304,304,2.12044
308,308,2.23119
309,309,2.21808
318,318,1.99477
319,319,2.14156
400,400,1.91268
401,401,2.12894
406,406,2.74625
421,421,2.20545
437,437,2.01428
438,438,2.17334
460,460,1.86012
483,483,2.2206
507,507,1.95743
508,508,2.00017
