window_index,anomaly_score,start_date,end_date,top_anomalous_stocks
0,-3.4761946133913013,2023-11-24,2023-11-28,"NVDA (0.0147), META (0.0132), LLY (0.0131)"
1,-2.989012364777818,2023-11-27,2023-11-29,"META (0.0169), GOOGL (0.0111), MSFT (0.0106)"
