feature_index,feature_name,importance_score
0,feature_0,9.733
1,feature_1,9.522
2,feature_2,6.94
3,feature_3,9.445
4,feature_4,9.606
5,feature_5,9.434
6,feature_6,9.507
7,feature_7,6.944
8,feature_8,6.631
9,feature_9,6.917
10,feature_10,9.436
11,feature_11,6.865
12,feature_12,9.421
13,feature_13,9.543
14,feature_14,9.353
