index,time_period_idx,score,start_date,end_date
0,1,1.20788,2023-01-23,2023-01-25
1,5,0.41863,2024-04-08,2024-04-10
2,6,0.93477,2024-04-11,2024-04-15
3,8,-0.475023,2024-04-19,2024-04-23
4,9,0.102572,2024-04-24,2024-04-26
5,11,1.11049,2024-05-02,2024-05-06
6,12,0.242203,2024-05-07,2024-05-09
7,13,2.37989,2023-03-07,2023-03-09
8,14,1.19379,2024-05-10,2024-05-14
9,16,-0.267184,2024-05-20,2024-05-22
10,21,0.451289,2024-06-11,2024-06-13
11,23,-0.0845683,2024-06-20,2024-06-24
12,24,-0.00533408,2023-03-10,2023-03-14
13,28,-0.141567,2024-07-09,2024-07-11
14,29,0.640323,2024-07-12,2024-07-16
15,35,0.900368,2023-03-15,2023-03-17
16,37,0.45362,2024-08-12,2024-08-14
17,40,0.155892,2024-08-23,2024-08-27
18,42,0.334329,2024-09-03,2024-09-05
19,45,2.2158,2024-09-16,2024-09-18
20,54,0.563238,2024-10-18,2024-10-22
21,56,0.648377,2024-10-28,2024-10-30
22,71,0.754613,2024-12-23,2024-12-26
23,75,0.983691,2025-01-13,2025-01-15
24,76,-0.124524,2025-01-16,2025-01-21
25,87,1.31446,2025-03-03,2025-03-05
26,93,2.60328,2023-04-11,2023-04-13
27,105,1.38071,2023-01-31,2023-02-02
28,108,-0.25447,2023-06-06,2023-06-08
29,110,0.804745,2023-06-14,2023-06-16
30,113,0.83315,2023-06-28,2023-06-30
31,118,0.532033,2023-07-17,2023-07-19
32,119,2.2585,2023-07-20,2023-07-24
33,123,0.452719,2023-08-07,2023-08-09
34,132,0.0234527,2023-09-11,2023-09-13
35,135,0.923998,2023-09-22,2023-09-26
36,136,1.68928,2023-09-27,2023-09-29
37,138,-0.0133629,2023-02-13,2023-02-15
38,149,0.280659,2023-02-16,2023-02-21
39,150,1.54271,2023-11-16,2023-11-20
40,153,1.16328,2023-11-30,2023-12-04
41,154,0.0893594,2023-12-05,2023-12-07
42,157,-0.515639,2023-12-18,2023-12-20
43,159,0.0193353,2023-12-27,2023-12-29
44,161,-0.099164,2024-01-02,2024-01-04
45,168,1.58301,2024-02-01,2024-02-05
46,170,1.29544,2024-02-09,2024-02-13
47,172,0.819725,2024-02-14,2024-02-16
48,173,2.33499,2024-02-20,2024-02-22
49,177,-0.0516578,2024-03-07,2024-03-11
