index,subsequence_idx,score
17,17,2.21859
78,78,2.1984
79,79,1.90479
80,80,1.97636
107,107,1.94779
120,120,2.16503
124,124,2.47057
125,125,3.00699
147,147,2.15177
148,148,2.46179
205,205,2.62206
215,215,2.11125
227,227,2.65489
228,228,2.17815
280,280,1.95061
281,281,2.11081
300,300,2.12769
302,302,2.05041
303,303,2.42318
304,304,2.79056
305,305,2.06691
316,316,2.24203
317,317,2.82855
318,318,2.02573
331,331,2.66609
332,332,2.88451
333,333,2.21253
335,335,1.98191
348,348,2.29234
350,350,2.02642
351,351,2.91371
352,352,2.63427
370,370,1.97605
393,393,2.02519
394,394,2.08979
407,407,2.60374
408,408,2.07095
409,409,2.34163
410,410,2.2038
411,411,2.02603
428,428,2.09807
443,443,2.66771
444,444,2.10802
483,483,2.00028
498,498,2.08311
509,509,2.01188
510,510,2.48602
