window_index,anomaly_score,start_date,end_date,top_anomalous_stocks
18,2.111579761162941,2024-09-05,2024-09-09,"NVDA (0.0388), AMZN (0.0355), META (0.0235)"
19,2.52678124625422,2024-09-06,2024-09-10,"NVDA (0.0395), JPM (0.0365), AMZN (0.0347)"
