index,subsequence_idx,score
14,14,2.26002
29,29,2.01674
34,34,2.01717
35,35,1.85719
37,37,1.92187
66,66,1.85455
67,67,2.781
68,68,2.21613
96,96,1.90326
107,107,2.20573
125,125,2.0459
126,126,2.17989
127,127,1.92337
143,143,1.9975
145,145,2.37152
150,150,1.9225
164,164,1.99005
192,192,2.50234
222,222,1.88507
224,224,2.00889
229,229,2.00102
258,258,2.2238
259,259,1.89942
318,318,3.06013
319,319,2.99087
330,330,2.10267
356,356,1.94132
378,378,1.98917
432,432,2.34562
445,445,1.92904
495,495,2.40549
512,512,1.99007
513,513,2.02509
