index,subsequence_idx,score
14,14,2.40661
36,36,1.87729
61,61,2.07771
62,62,2.10615
67,67,2.23052
92,92,1.97398
102,102,2.65018
103,103,2.32953
104,104,2.27332
113,113,1.89963
144,144,2.11101
145,145,1.90033
158,158,2.17009
159,159,1.94422
188,188,2.17849
189,189,1.96755
216,216,2.3863
217,217,2.06067
229,229,1.85178
230,230,1.89964
259,259,2.27959
260,260,2.34025
261,261,1.87661
273,273,2.02738
279,279,2.30383
280,280,2.31602
289,289,1.95512
290,290,1.94949
301,301,1.84658
302,302,2.23083
318,318,1.85106
342,342,1.84411
343,343,2.27055
344,344,2.22126
361,361,2.27427
362,362,2.76644
363,363,2.37618
406,406,1.96547
408,408,2.31376
412,412,2.32267
413,413,2.23298
436,436,2.19325
437,437,2.42876
481,481,1.99057
482,482,1.97127
483,483,2.05127
484,484,1.94665
494,494,2.18785
495,495,2.31718
