index,subsequence_idx,score
3,3,2.02276
4,4,1.9636
5,5,1.82863
30,30,2.231
36,36,1.9245
37,37,2.09732
49,49,1.87936
50,50,2.06065
52,52,2.14543
53,53,2.08914
54,54,2.37874
75,75,2.01963
97,97,1.82206
116,116,2.05083
149,149,2.12791
150,150,1.9727
198,198,1.85857
242,242,1.897
244,244,1.86995
261,261,2.15767
262,262,2.40292
277,277,1.9475
278,278,1.88161
282,282,2.19397
298,298,2.40854
325,325,2.57055
326,326,2.55119
342,342,1.96937
387,387,1.84173
388,388,2.62707
389,389,2.15462
406,406,2.26953
410,410,1.85479
420,420,1.93385
421,421,2.01569
428,428,1.88608
451,451,2.06315
452,452,1.85646
483,483,2.25035
506,506,2.12213
507,507,1.9472
522,522,2.1204
