index,subsequence_idx,score
9,9,1.96859
27,27,2.21943
28,28,2.30386
67,67,2.76293
68,68,2.32701
108,108,1.92366
129,129,2.20436
130,130,2.44068
150,150,1.9
174,174,2.50001
216,216,2.74214
224,224,2.71529
225,225,2.19323
259,259,2.21685
260,260,2.55188
285,285,2.21766
286,286,2.29885
302,302,2.26281
317,317,2.45593
318,318,1.9105
331,331,2.27509
333,333,1.9747
334,334,1.89581
343,343,2.22394
344,344,2.10686
355,355,1.9828
356,356,2.04434
357,357,2.0531
358,358,2.59473
384,384,2.35834
385,385,2.24236
386,386,2.50874
387,387,2.06173
400,400,2.17844
401,401,2.06791
442,442,1.92036
443,443,1.92817
448,448,2.07741
449,449,2.14735
495,495,2.03862
497,497,2.06426
521,521,2.27633
544,544,1.97624
