window_index,start_date,end_date,iforest_score,lof_score
0,2024-12-02,2024-12-04,-0.17496481323322405,0.3266808022303547
1,2024-12-03,2024-12-05,-0.593039067221327,0.35625463472943786
2,2024-12-04,2024-12-06,-0.43366435468012826,0.37694630406328067
3,2024-12-05,2024-12-09,-0.817821580924166,0.3100454794819501
4,2024-12-06,2024-12-10,-0.1421887662147858,0.3922559249186904
5,2024-12-09,2024-12-11,-0.24199868795567192,0.3865304239227792
6,2024-12-10,2024-12-12,-0.06922203122546164,0.4029330541776699
7,2024-12-11,2024-12-13,-0.5283712444469969,0.3463083219916361
8,2024-12-12,2024-12-16,-1.1102917478124874,0.3344469584765978
9,2024-12-13,2024-12-17,-1.0689988795131062,0.41345325098752306
10,2024-12-16,2024-12-18,0.8369173233088987,0.39283061653935775
11,2024-12-17,2024-12-19,0.3216487228684508,0.3249634885275336
12,2024-12-18,2024-12-20,3.0908756316817234,-1.599703717178537
13,2024-12-19,2024-12-23,1.5851910998394902,-2.6922969983539153
14,2024-12-20,2024-12-24,2.2087855028435692,-3.3717538653923698
15,2024-12-23,2024-12-26,0.6081104244334217,0.36359009369139245
16,2024-12-24,2024-12-27,-0.17173166971969303,0.3685820349865027
17,2024-12-26,2024-12-30,-0.39681722973136024,0.34969976533472635
18,2024-12-27,2024-12-31,-0.4847855513611454,0.2967155744701772
19,2024-12-30,2025-01-02,-0.11742050843754545,0.32709911727637925
20,2024-12-31,2025-01-03,-0.837241842145923,0.35792935283449606
21,2025-01-02,2025-01-06,-0.674377056406902,0.4106068672661373
22,2025-01-03,2025-01-07,-0.4199682779296935,0.39698686280182166
23,2025-01-06,2025-01-08,-0.36862539601594113,0.4288956522164045
