index,subsequence_idx,score
5,5,3.36857
6,6,3.10434
7,7,3.27914
9,9,3.51507
10,10,3.26364
11,11,3.48267
144,144,3.09342
145,145,2.91539
147,147,3.07038
197,197,3.1337
198,198,3.01475
199,199,3.32301
359,359,2.93011
361,361,2.52441
480,480,2.5265
482,482,2.50911
530,530,3.58694
531,531,3.44511
532,532,3.69773
536,536,4.16878
537,537,3.7992
538,538,4.13726
