index,date,score,start_date,end_date
5,2023-01-25,3.47848,2023-01-25,2023-01-25
14,2023-02-07,3.09924,2023-02-07,2023-02-07
15,2023-02-08,3.0339,2023-02-08,2023-02-08
16,2023-02-09,2.37372,2023-02-09,2023-02-09
18,2023-02-13,2.60688,2023-02-13,2023-02-13
39,2023-03-15,2.43996,2023-03-15,2023-03-15
40,2023-03-16,2.99005,2023-03-16,2023-03-16
41,2023-03-17,3.59752,2023-03-17,2023-03-17
42,2023-03-20,2.41938,2023-03-20,2023-03-20
67,2023-04-25,2.53956,2023-04-25,2023-04-25
68,2023-04-26,3.38637,2023-04-26,2023-04-26
69,2023-04-27,2.68987,2023-04-27,2023-04-27
89,2023-05-25,2.46346,2023-05-25,2023-05-25
92,2023-05-31,2.40797,2023-05-31,2023-05-31
104,2023-06-16,2.63045,2023-06-16,2023-06-16
124,2023-07-18,3.6774,2023-07-18,2023-07-18
125,2023-07-19,2.77525,2023-07-19,2023-07-19
126,2023-07-20,2.42468,2023-07-20,2023-07-20
127,2023-07-21,3.58735,2023-07-21,2023-07-21
129,2023-07-25,2.46458,2023-07-25,2023-07-25
130,2023-07-26,3.31014,2023-07-26,2023-07-26
194,2023-10-25,2.99898,2023-10-25,2023-10-25
212,2023-11-20,3.00006,2023-11-20,2023-11-20
229,2023-12-14,2.45195,2023-12-14,2023-12-14
230,2023-12-15,3.96994,2023-12-15,2023-12-15
260,2024-01-31,2.82989,2024-01-31,2024-01-31
291,2024-03-15,2.46617,2024-03-15,2024-03-15
344,2024-05-31,2.85914,2024-05-31,2024-05-31
385,2024-07-31,2.50987,2024-07-31,2024-07-31
421,2024-09-20,2.98998,2024-09-20,2024-09-20
450,2024-10-31,2.94878,2024-10-31,2024-10-31
485,2024-12-20,3.36016,2024-12-20,2024-12-20
487,2024-12-24,2.74557,2024-12-24,2024-12-24
488,2024-12-26,2.53026,2024-12-26,2024-12-26
510,2025-01-30,3.05545,2025-01-30,2025-01-30
