index,date,score,start_date,end_date
9,2023-01-31,2.52736,2023-01-31,2023-01-31
41,2023-03-17,2.74965,2023-03-17,2023-03-17
43,2023-03-21,2.41442,2023-03-21,2023-03-21
49,2023-03-29,2.44405,2023-03-29,2023-03-29
52,2023-04-03,2.39876,2023-04-03,2023-04-03
62,2023-04-18,2.40354,2023-04-18,2023-04-18
89,2023-05-25,2.5908,2023-05-25,2023-05-25
90,2023-05-26,3.26956,2023-05-26,2023-05-26
91,2023-05-30,3.1741,2023-05-30,2023-05-30
92,2023-05-31,3.64195,2023-05-31,2023-05-31
107,2023-06-22,2.65481,2023-06-22,2023-06-22
108,2023-06-23,3.74123,2023-06-23,2023-06-23
132,2023-07-28,2.77891,2023-07-28,2023-07-28
133,2023-07-31,2.94235,2023-07-31,2023-07-31
166,2023-09-15,3.1147,2023-09-15,2023-09-15
219,2023-11-30,2.39375,2023-11-30,2023-11-30
230,2023-12-15,2.7898,2023-12-15,2023-12-15
271,2024-02-15,2.41372,2024-02-15,2024-02-15
272,2024-02-16,3.45403,2024-02-16,2024-02-16
325,2024-05-03,2.47062,2024-05-03,2024-05-03
328,2024-05-08,3.56426,2024-05-08,2024-05-08
329,2024-05-09,4.38271,2024-05-09,2024-05-09
421,2024-09-20,3.56553,2024-09-20,2024-09-20
446,2024-10-25,3.51602,2024-10-25,2024-10-25
454,2024-11-06,2.51124,2024-11-06,2024-11-06
485,2024-12-20,2.40308,2024-12-20,2024-12-20
507,2025-01-27,3.87187,2025-01-27,2025-01-27
521,2025-02-14,2.39524,2025-02-14,2025-02-14
530,2025-02-28,3.17648,2025-02-28,2025-02-28
545,2025-03-21,2.43329,2025-03-21,2025-03-21
