window_index,start_date,end_date,iforest_score,lof_score
0,2023-02-17,2023-02-22,-1.393267471816511,0.27533496616481296
1,2023-02-21,2023-02-23,-0.4748513586560024,0.4918355471847379
2,2023-02-22,2023-02-24,-0.7253420787897075,0.4512218298460226
3,2023-02-23,2023-02-27,-0.5150359557580442,0.411637948393192
4,2023-02-24,2023-02-28,-0.255447529836532,0.5245351057278324
5,2023-02-27,2023-03-01,-0.7386570705312699,0.47238453380199036
6,2023-02-28,2023-03-02,-0.5905903759087974,0.501733072113377
7,2023-03-01,2023-03-03,-0.48073207846508165,0.3593965504268822
8,2023-03-02,2023-03-06,-0.8121956455755521,0.5228613866980578
9,2023-03-03,2023-03-07,-0.32090496596036094,0.5428285451189562
10,2023-03-06,2023-03-08,-1.258751207822526,0.26859558255537347
11,2023-03-07,2023-03-09,0.8562824214099523,-0.02966030208921555
12,2023-03-08,2023-03-10,0.5826840479186396,0.15216851722646346
13,2023-03-09,2023-03-13,1.1304052169102876,0.22753468564308105
14,2023-03-10,2023-03-14,0.5485190590347709,0.3396078544047805
15,2023-03-13,2023-03-15,0.9942073181441962,0.3608769075423323
16,2023-03-14,2023-03-16,1.500417834963271,0.23712267356694183
17,2023-03-15,2023-03-17,2.1885832190005488,-1.2698874954586785
18,2023-03-16,2023-03-20,2.033780541864092,-3.3676762388501853
19,2023-03-17,2023-03-21,0.8422323672206111,-3.150637019807064
20,2023-03-20,2023-03-22,0.5397730825608367,0.4879708868590389
21,2023-03-21,2023-03-23,-0.1977002917620562,0.29507766345778264
22,2023-03-22,2023-03-24,-0.36867039268878715,0.16164705100323426
23,2023-03-23,2023-03-27,-1.4752136904998188,0.24585037348490366
24,2023-03-24,2023-03-28,-0.945348616726562,0.2189273275339204
25,2023-03-27,2023-03-29,-0.6641763782295992,0.2687120474515284
