index,subsequence_idx,score
4,4,1.92978
40,40,2.08623
65,65,2.14054
66,66,2.04913
69,69,1.91071
70,70,2.39012
85,85,2.09238
102,102,2.10718
103,103,1.89235
143,143,1.97225
163,163,2.77855
164,164,2.32777
189,189,2.08693
193,193,2.18455
228,228,1.86011
229,229,2.29768
256,256,2.58525
257,257,2.3416
268,268,1.90248
272,272,2.0417
280,280,1.94532
309,309,2.15621
343,343,2.07879
350,350,2.02895
387,387,2.3181
388,388,1.99747
392,392,1.89724
419,419,2.20857
420,420,2.1221
421,421,2.22199
447,447,2.37505
448,448,2.12888
464,464,1.98835
465,465,1.9009
482,482,2.09346
483,483,2.5399
484,484,2.03089
527,527,2.08507
528,528,2.10757
