index,subsequence_idx,score
39,39,2.58415
66,66,3.22343
67,67,3.32295
68,68,3.50061
102,102,3.13701
103,103,3.13089
104,104,3.21877
128,128,3.13242
129,129,3.02035
130,130,3.21813
197,197,2.56578
198,198,2.63733
223,223,2.60111
224,224,2.58962
225,225,2.60319
228,228,2.67402
229,229,2.64293
233,233,2.93912
361,361,3.30164
362,362,3.35094
363,363,3.38454
419,419,2.5288
421,421,2.63196
445,445,2.71671
484,484,2.62524
485,485,2.88156
520,520,2.69361
521,521,2.52999
522,522,2.64358
543,543,3.20225
544,544,3.07589
545,545,3.29061
