index,window_idx,stock_idx,ticker,score,start_date,end_date
0,10,,,1.1231334589520752,2023-03-02,2023-03-06
1,21,,,1.1310802618370808,2023-04-19,2023-04-21
2,23,,,1.1072137009235654,2023-04-27,2023-05-01
3,55,,,1.0995389944289065,2023-09-14,2023-09-18
4,73,,,1.1064686286283754,2023-11-30,2023-12-04
5,76,,,1.1674983917498338,2023-12-13,2023-12-15
6,80,,,1.1032000024752142,2024-01-02,2024-01-04
7,114,,,1.1546550224079195,2024-05-29,2024-05-31
8,137,,,1.1228468391860942,2024-09-06,2024-09-10
9,151,,,1.1861983398634512,2024-11-05,2024-11-07
10,169,,,1.1019655795385956,2025-01-27,2025-01-29
11,174,,,1.1304435207017667,2025-02-18,2025-02-20
