feature_index,feature_name,importance_score
0,daily_return_zscore_0,42.29
1,relative_volume_zscore_0,42.412
2,Close_0,23.658
3,Volume_0,23.669
4,Open_0,23.77
5,Low_0,22.755
6,relative_volume_0,23.82
7,high_low_range_0,36.505
8,daily_return_0,23.502
9,volume_change_0,43.259
10,log_return_0,36.476
11,excess_return_0,23.614
12,High_0,23.361
13,volume_change_zscore_0,36.453
14,log_return_zscore_0,23.745
15,log_volume_1,43.629
16,daily_return_zscore_1,36.461
17,relative_volume_zscore_1,43.458
18,Close_1,43.659
19,Volume_1,23.551
20,Open_1,43.538
21,Low_1,43.403
22,relative_volume_1,23.865
23,high_low_range_1,43.442
24,daily_return_1,23.812
25,volume_change_1,23.587
26,log_return_1,22.823
27,excess_return_1,23.804
28,High_1,43.593
29,volume_change_zscore_1,23.929
30,log_return_zscore_1,43.583
31,log_volume_2,36.503
32,daily_return_zscore_2,36.085
33,relative_volume_zscore_2,23.532
34,Close_2,23.911
35,Volume_2,36.364
36,Open_2,36.256
37,Low_2,23.802
38,relative_volume_2,23.767
39,high_low_range_2,23.528
40,daily_return_2,36.145
41,volume_change_2,23.497
42,log_return_2,36.352
43,excess_return_2,43.436
44,High_2,23.828
45,volume_change_zscore_2,36.398
46,log_return_zscore_2,36.214
47,ticker,23.513
48,time_period_idx,23.519
