index,date,score,start_date,end_date
38,2023-03-14,6.34897,2023-03-14,2023-03-14
39,2023-03-15,4.14775,2023-03-15,2023-03-15
41,2023-03-17,3.27516,2023-03-17,2023-03-17
89,2023-05-25,3.96515,2023-05-25,2023-05-25
101,2023-06-13,2.37565,2023-06-13,2023-06-13
135,2023-08-02,2.55473,2023-08-02,2023-08-02
253,2024-01-22,3.55239,2024-01-22,2024-01-22
265,2024-02-07,3.08255,2024-02-07,2024-02-07
291,2024-03-15,4.03504,2024-03-15,2024-03-15
318,2024-04-24,3.07794,2024-04-24,2024-04-24
358,2024-06-21,3.41601,2024-06-21,2024-06-21
385,2024-07-31,3.02066,2024-07-31,2024-07-31
421,2024-09-20,3.95411,2024-09-20,2024-09-20
425,2024-09-26,2.70589,2024-09-26,2024-09-26
441,2024-10-18,4.16723,2024-10-18,2024-10-18
449,2024-10-30,2.85874,2024-10-30,2024-10-30
450,2024-10-31,2.5717,2024-10-31,2024-10-31
451,2024-11-01,2.70908,2024-11-01,2024-11-01
453,2024-11-05,2.74596,2024-11-05,2024-11-05
455,2024-11-07,2.55243,2024-11-07,2024-11-07
461,2024-11-15,2.74796,2024-11-15,2024-11-15
485,2024-12-20,4.15642,2024-12-20,2024-12-20
497,2025-01-10,2.33161,2025-01-10,2025-01-10
514,2025-02-05,3.06401,2025-02-05,2025-02-05
515,2025-02-06,2.83884,2025-02-06,2025-02-06
545,2025-03-21,4.55686,2025-03-21,2025-03-21
