index,date,score
36,2023-03-10,2.465272408076579
37,2023-03-13,3.2954891918331852
38,2023-03-14,2.3847099917629455
39,2023-03-15,2.2045273269364403
40,2023-03-16,2.858886082500656
41,2023-03-17,3.7110919924463857
44,2023-03-22,2.265133371579732
104,2023-06-16,2.229621113145429
166,2023-09-15,3.650697376442324
215,2023-11-24,2.8209255320363016
230,2023-12-15,2.6710363881074426
291,2024-03-15,2.783899115021058
344,2024-05-31,2.278534330003685
358,2024-06-21,2.324658662471945
363,2024-06-28,2.4841403116157585
388,2024-08-05,2.869064760151331
408,2024-09-03,2.2593870194848242
421,2024-09-20,3.195693630301429
450,2024-10-31,2.246250681370837
454,2024-11-06,4.240841059839366
483,2024-12-18,3.960470204563072
485,2024-12-20,3.7616994019771304
487,2024-12-24,2.8680715978459603
525,2025-02-21,2.5087671986215843
530,2025-02-28,3.447498283906076
531,2025-03-03,2.4956683409391696
536,2025-03-10,2.9017509338052943
545,2025-03-21,3.6982622252993442
