Price,daily_return,volume_change,high_low_range,daily_return_zscore,volume_change_zscore
2023-01-18,-0.015562598500411,0.0149094806826015,0.0223017484022104,-1.6380332852022912,0.0272915269926982
2023-01-19,-0.0076383502962943,-0.0714656257342318,0.0096254064989055,-0.7729007338264959,-0.7221881892717824
2023-01-20,0.0189184010459815,0.0054766378554427,0.0192669442837694,1.244696914941578,-0.0069027939474792
2023-01-23,0.0118813449836652,-0.016980784180836,0.0170383438191567,0.8476609736843292,-0.2518880119119721
2023-01-24,-0.0007115031258156,-0.1583641935410282,0.0085543054843356,-0.3831463287774331,-1.540084233575039
2023-01-25,-0.0001817250594663,0.1215475104128078,0.0178498146871628,-0.2625126881561721,1.2929730245102482
2023-01-26,0.0110078534691813,0.0229778572617762,0.0120300374074516,0.8699500519276191,0.374699767626523
2023-01-27,0.002494840970949,0.025769177260545,0.0112406476929594,0.0277613389746158,0.4162501716362202
2023-01-30,-0.0129687409846833,-0.0270640981022376,0.0120282522296592,-1.2217706697824433,-0.341936866060819
2023-01-31,0.0146424702855101,0.2307522356654392,0.0141079015057456,1.0516371885089952,2.0647206151139117
