Price,daily_return,volume_change,high_low_range,daily_return_zscore,volume_change_zscore
2023-02-06,-0.0061404630177543,-0.1236060845540855,0.0076342780036649,-0.8305559862119415,-1.0110470290163676
2023-02-07,0.0128725105980265,0.0587277358637319,0.0215610909919327,0.8692527715863262,0.2052763171776305
2023-02-08,-0.0110807244761647,-0.0748508905244889,0.0109882788841782,-1.180035833871378,-0.738704845783784
2023-02-09,-0.0088297961777351,0.0596503069616012,0.0212695526309095,-0.8073803617914139,0.3425682453218241
2023-02-10,0.0021952617756952,-0.0886796871340921,0.0082668810838408,0.1413544675140376,-0.7554300790977714
2023-02-13,0.0114486093427661,-0.1138115697722227,0.0112957998937696,0.7659166962719542,-0.84933625874945
2023-02-14,-0.0002804145319874,0.1393542924416142,0.0158143715427282,-0.173098340363379,1.3011057166981177
2023-02-15,0.002773175690496,0.0373562048254096,0.0107529478756033,0.2082877078734594,0.4205868118471781
2023-02-16,-0.0137887414891306,0.0166045957045912,0.0115051140705759,-1.2375976968598272,0.4191213500268143
2023-02-17,-0.0027674058253277,-0.0236940289502517,0.0082906308127733,-0.1566038154623225,-0.1415239628577723
