Date,open_std,high_std,low_std,close_std,daily_return_std,log_return_std,volume_change_std,relative_volume_std,log_volume,high_low_range_std
2025-03-11,-1.7052103551291222,-1.7516576433942246,-1.63957366494886,-1.7325452776652364,-0.072938048785769,-0.0667118017647687,-0.3947586345918503,0.1825245584874806,22.551235080902472,-0.4083307471182485
2025-03-12,-1.2517091194259355,-1.363838358730865,-1.2688140650253317,-1.2462071623504944,0.7584755445532773,0.7617879110823239,-1.2753910392175871,-1.4397456217166311,22.37573067145241,-1.1691067068255463
2025-03-13,-1.2654238864298082,-1.3703388717012177,-1.3169442791451065,-1.432997356126784,-0.5611236497596979,-0.5575381555027615,-0.3316886002646019,-1.4098306042741746,22.33649256295297,-1.045010024636324
2025-03-14,-1.2196961528903425,-0.8466830210223709,-0.677462296172671,-0.4566082205924039,1.739867710147838,1.7280561340023162,-0.0795755987610666,-1.2855746932761198,22.30495838207745,-1.2926611512524844
2025-03-17,-0.5288689734860307,-0.2195948752584994,0.1346152788302112,0.0001846830203236,0.6216126931488019,0.6253123886531554,0.4249118333881193,-0.7467647547780795,22.33903764802649,-1.5841139165417288
2025-03-18,-0.1666005285119338,-0.5697412665632933,-0.0983103436834495,-0.4483706723114031,-0.528531501259979,-0.5236530715549406,-0.5374683561380754,-0.9750241877336776,22.26362587449516,-1.7064956528546675
2025-03-19,-0.3003007897529163,0.3796161995698725,0.4422040848996373,0.4433191966680367,0.9135430268375376,0.9136718718446516,0.0976973680120504,-0.7529368963234531,22.262300598416775,-0.1398837549334398
2025-03-20,0.1672951825008398,0.5901312913484578,0.8928520512873488,0.4200330364749102,-0.0679837465569257,-0.0616087262097806,0.1289552841081366,-0.5678377060320219,22.266226283250088,-0.6471819675765212
2025-03-21,0.0395002307700341,0.0660642569994834,0.5312571020046613,0.8604858319364829,0.1841865335004796,0.1899080142288574,2.7764358918823135,2.6218595547276724,22.96050781864702,-0.889417091156649
2025-03-24,2.1422447110739937,1.9502579571769796,1.9883805586387249,1.8979283262550115,1.2694193417960296,1.2662367937144303,-1.409435946666967,-0.5903980509762603,22.23133304184236,-1.388113342350788
