Date,Close,High,Low,Open,Volume,daily_return,log_return,volume_change,relative_volume,high_low_range,daily_return_zscore,log_return_zscore,volume_change_zscore,relative_volume_zscore,log_volume
2025-01-27,6012.27978515625,6017.169921875,5962.919921875,5969.0400390625,5198750000,-0.0145807156908095,-0.0146880590321123,0.2336121492555021,1.1648058899576312,0.009097891756182,-2.003411096256689,-2.0143807187106857,2.201575238509658,2.0266637331004884,22.371684049213748
2025-01-28,6067.7001953125,6074.5400390625,5994.6298828125,6026.97021484375,4473640000,0.0092178694499676,0.0091756441777168,-0.1394777590767011,1.0011650614063003,0.0133302902451266,0.5848213828803102,0.5859331348313819,-1.341716296870972,-0.3011787573993898,22.221468232092047
2025-01-29,6039.31005859375,6062.830078125,6012.9599609375,6057.7001953125,4115310000,-0.0046788957603215,-0.0046898760569196,-0.0800980856751996,0.9215298617003196,0.0082937717050297,-0.8529549908688772,-0.8506733062157185,-0.7698664260587385,-1.2939406189721143,22.137980002624342
2025-01-30,6071.169921875,6086.64013671875,6027.4599609375,6050.75,4634620000,0.0052754144053117,0.0052615481521802,0.1261897645620864,1.0357289872801605,0.0098184270264393,0.4089793534561601,0.4104761198593461,1.050841849742736,0.4380271366455019,22.256820047921533
2025-01-31,6040.52978515625,6120.91015625,6030.93017578125,6096.7900390625,4843770000,-0.0050468257540199,-0.0050596039902671,0.0451277558893716,1.0691379257827658,0.0149197516545768,-0.8380376526212616,-0.8346974577577254,0.2472328789878065,0.7942957028552127,22.300959180296115
2025-02-03,5994.56982421875,6022.1298828125,5923.93017578125,5969.64990234375,4797210000,-0.0076085976846667,-0.0076376907294952,-0.0096123474070817,1.048896968149212,0.0165767833376428,-0.9457807888529542,-0.9442675371557536,-0.21902838260104,0.4116525830592964,22.29130033607744
2025-02-04,6037.8798828125,6042.47998046875,5990.8701171875,5998.14013671875,4410160000,0.0072248818286797,0.0071989074030291,-0.0806823132612497,0.9704817023523976,0.0086147524936626,0.939023442985857,0.9375315196746046,-0.7065233822714664,-0.6168891304394254,22.20717680715291
2025-02-05,6061.47998046875,6062.85986328125,6007.06005859375,6020.4501953125,4756250000,0.0039086729306143,0.0039010539156136,0.0784756108621909,1.036757395608748,0.009289037256698,0.5576536698471333,0.5590347885579049,0.569396909889372,0.2445879472787832,22.28272537978452
2025-02-06,6083.56982421875,6084.02978515625,6046.830078125,6072.22021484375,4847120000,0.0036442987226186,0.0036376743552662,0.0191053876478317,1.0470958983890633,0.0061519352372449,0.5536313375774915,0.5550469183646308,0.0426891574378588,0.3238838348590584,22.301650551291505
2025-02-07,6025.990234375,6101.27978515625,6019.9599609375,6083.1298828125,4766900000,-0.0094647701115428,-0.0095098456936602,-0.0165500338345244,1.0176175125251554,0.0135083662925369,-1.0226114436562597,-1.0222581860397972,-0.3108175409447568,-0.2145834535291285,22.28496203560483
