window_index,anomaly_score,start_date,end_date,top_anomalous_stocks
16,-2.5358353849177693,2024-12-19,2024-12-23,"LLY (0.0233), META (0.0215), NVDA (0.0120)"
17,-3.51921180078048,2024-12-20,2024-12-24,"META (0.0218), LLY (0.0191), NVDA (0.0175)"
