index,date,score,start_date,end_date
9,2023-01-31,2.5327,2023-01-31,2023-01-31
41,2023-03-17,2.91868,2023-03-17,2023-03-17
54,2023-04-05,2.83664,2023-04-05,2023-04-05
78,2023-05-10,2.35431,2023-05-10,2023-05-10
92,2023-05-31,3.28749,2023-05-31,2023-05-31
93,2023-06-01,2.32672,2023-06-01,2023-06-01
133,2023-07-31,2.76235,2023-07-31,2023-07-31
180,2023-10-05,2.33723,2023-10-05,2023-10-05
181,2023-10-06,3.12826,2023-10-06,2023-10-06
182,2023-10-09,3.23817,2023-10-09,2023-10-09
194,2023-10-25,2.46471,2023-10-25,2023-10-25
215,2023-11-24,2.86087,2023-11-24,2023-11-24
242,2024-01-04,3.19067,2024-01-04,2024-01-04
243,2024-01-05,2.95331,2024-01-05,2024-01-05
245,2024-01-09,2.34866,2024-01-09,2024-01-09
257,2024-01-26,3.10458,2024-01-26,2024-01-26
291,2024-03-15,3.45816,2024-03-15,2024-03-15
304,2024-04-04,3.81062,2024-04-04,2024-04-04
305,2024-04-05,2.99639,2024-04-05,2024-04-05
335,2024-05-17,2.72108,2024-05-17,2024-05-17
371,2024-07-11,3.8542,2024-07-11,2024-07-11
401,2024-08-22,2.51182,2024-08-22,2024-08-22
414,2024-09-11,3.01542,2024-09-11,2024-09-11
421,2024-09-20,4.61894,2024-09-20,2024-09-20
429,2024-10-02,4.61125,2024-10-02,2024-10-02
430,2024-10-03,2.32303,2024-10-03,2024-10-03
461,2024-11-15,3.1851,2024-11-15,2024-11-15
467,2024-11-25,2.41264,2024-11-25,2024-11-25
484,2024-12-19,2.45887,2024-12-19,2024-12-19
485,2024-12-20,4.07412,2024-12-20,2024-12-20
502,2025-01-17,2.90339,2025-01-17,2025-01-17
507,2025-01-27,2.30489,2025-01-27,2025-01-27
522,2025-02-18,3.9876,2025-02-18,2025-02-18
525,2025-02-21,2.38561,2025-02-21,2025-02-21
535,2025-03-07,3.16,2025-03-07,2025-03-07
536,2025-03-10,2.9982,2025-03-10,2025-03-10
545,2025-03-21,4.74183,2025-03-21,2025-03-21
