window_index,start_date,end_date,iforest_score,lof_score
0,2023-11-22,2023-11-27,2.0847922960113867,-2.8281985288965865
1,2023-11-24,2023-11-28,0.45502160972346684,-3.039528471274052
2,2023-11-27,2023-11-29,-0.5513929996402313,-1.851754977167849
3,2023-11-28,2023-11-30,-0.7735770947408904,0.5190146402100215
4,2023-11-29,2023-12-01,-0.5088252121727922,0.37093702222291447
5,2023-11-30,2023-12-04,-0.46039490342021105,0.5209152501750081
6,2023-12-01,2023-12-05,-0.4700898337971433,0.4682795141240724
7,2023-12-04,2023-12-06,-0.2204836256582599,0.3845339183982915
8,2023-12-05,2023-12-07,0.821834992709146,0.4140872916015556
9,2023-12-06,2023-12-08,-0.4858234867228978,0.3852034556853395
10,2023-12-07,2023-12-11,0.4016696137142574,0.26111754500840684
11,2023-12-08,2023-12-12,-1.0558821738211273,0.2521307427356631
12,2023-12-11,2023-12-13,-0.36748495512329454,0.31393584692658005
13,2023-12-12,2023-12-14,0.4392097359953852,0.526982352892921
14,2023-12-13,2023-12-15,0.7589479819094939,0.3954495788350618
15,2023-12-14,2023-12-18,1.9197180248591255,-0.16746956003281796
16,2023-12-15,2023-12-19,1.078128964068247,0.477515012001228
17,2023-12-18,2023-12-20,1.7884037058010647,0.5254567149023724
18,2023-12-19,2023-12-21,0.16520697085808222,0.21638832385217283
19,2023-12-20,2023-12-22,-0.0387878543585754,0.3877323462203217
20,2023-12-21,2023-12-26,-0.7486500394988626,0.5258323678956768
21,2023-12-22,2023-12-27,-1.5641444755026583,0.33472028757951927
22,2023-12-26,2023-12-28,-1.1430845192826475,0.2724073157742507
23,2023-12-27,2023-12-29,-1.5243127219100658,0.3343120103299752
