index,time_period_idx,score,start_date,end_date
0,1,0.759932,2023-01-25,2023-01-31
1,6,0.0622337,2025-02-06,2025-02-12
2,12,2.54305,2023-04-06,2023-04-13
3,16,0.865929,2023-05-05,2023-05-11
4,20,0.637522,2023-06-05,2023-06-09
5,21,-0.297025,2023-02-01,2023-02-07
6,23,0.727082,2023-06-20,2023-06-26
7,24,1.32476,2023-06-27,2023-07-03
8,27,1.11665,2023-07-19,2023-07-25
9,29,0.548102,2023-08-02,2023-08-08
10,35,0.218903,2023-09-07,2023-09-13
11,40,1.51387,2023-10-12,2023-10-18
12,48,1.20538,2023-12-01,2023-12-07
13,53,-0.10357,2024-01-09,2024-01-16
14,54,1.46339,2023-02-23,2023-03-01
15,57,0.434153,2024-01-31,2024-02-06
16,62,-0.360004,2024-03-07,2024-03-13
17,66,0.886544,2024-03-28,2024-04-04
18,67,1.07404,2024-04-05,2024-04-11
19,71,0.390616,2024-05-03,2024-05-09
20,72,1.45156,2024-05-10,2024-05-16
21,73,-0.539859,2024-05-17,2024-05-23
22,76,-0.212313,2023-03-09,2023-03-15
23,77,0.734653,2024-06-10,2024-06-14
24,78,0.201151,2024-06-17,2024-06-24
25,85,0.717412,2024-08-07,2024-08-13
26,91,2.40762,2024-09-12,2024-09-18
27,95,1.89505,2024-10-10,2024-10-16
28,96,0.244572,2024-10-17,2024-10-23
29,106,0.448254,2024-12-20,2024-12-27
