index,window_idx,stock_idx,ticker,score,start_date,end_date
0,0,14,NVDA,2.31914,2023-01-18,2023-01-20
1,1,14,NVDA,2.30121,2023-01-23,2023-01-25
2,2,14,NVDA,2.30183,2023-01-26,2023-01-30
3,3,14,NVDA,2.27412,2023-01-31,2023-02-02
4,4,14,NVDA,2.33519,2023-02-03,2023-02-07
5,5,14,NVDA,2.343,2023-02-08,2023-02-10
6,6,14,NVDA,2.3821,2023-02-13,2023-02-15
7,7,14,NVDA,2.34256,2023-02-16,2023-02-21
8,8,14,NVDA,2.47626,2023-02-22,2023-02-24
9,9,14,NVDA,2.36297,2023-02-27,2023-03-01
10,10,14,NVDA,2.31972,2023-03-02,2023-03-06
11,11,14,NVDA,2.30061,2023-03-07,2023-03-09
12,12,14,NVDA,2.25148,2023-03-10,2023-03-14
13,13,14,NVDA,2.37815,2023-03-15,2023-03-17
14,14,14,NVDA,2.2745,2023-03-20,2023-03-22
15,15,14,NVDA,2.3182,2023-03-23,2023-03-27
16,16,14,NVDA,2.32413,2023-03-28,2023-03-30
17,17,14,NVDA,2.37734,2023-03-31,2023-04-04
18,18,14,NVDA,2.47649,2023-04-05,2023-04-10
19,19,14,NVDA,2.4156,2023-04-11,2023-04-13
20,20,14,NVDA,2.32256,2023-04-14,2023-04-18
21,21,14,NVDA,2.31949,2023-04-19,2023-04-21
22,22,14,NVDA,2.34512,2023-04-24,2023-04-26
23,23,14,NVDA,2.25337,2023-04-27,2023-05-01
24,24,14,NVDA,2.36323,2023-05-02,2023-05-04
25,25,14,NVDA,2.4765,2023-05-05,2023-05-09
26,26,14,NVDA,2.28075,2023-05-10,2023-05-12
27,27,14,NVDA,2.3792,2023-05-15,2023-05-17
28,28,14,NVDA,2.36904,2023-05-18,2023-05-22
29,29,14,NVDA,2.4474,2023-05-23,2023-05-25
30,30,14,NVDA,2.31332,2023-05-26,2023-05-31
31,31,14,NVDA,2.34207,2023-06-01,2023-06-05
32,32,14,NVDA,2.35098,2023-06-06,2023-06-08
33,33,14,NVDA,2.32072,2023-06-09,2023-06-13
34,34,14,NVDA,2.37862,2023-06-14,2023-06-16
35,35,14,NVDA,2.42444,2023-06-20,2023-06-22
36,36,14,NVDA,2.3198,2023-06-23,2023-06-27
37,37,14,NVDA,2.3836,2023-06-28,2023-06-30
38,38,14,NVDA,2.29258,2023-07-03,2023-07-06
39,39,14,NVDA,2.19204,2023-07-07,2023-07-11
40,40,14,NVDA,2.17897,2023-07-12,2023-07-14
41,41,14,NVDA,2.21709,2023-07-17,2023-07-19
42,42,14,NVDA,2.22016,2023-07-20,2023-07-24
43,43,14,NVDA,2.54198,2023-07-25,2023-07-27
44,44,14,NVDA,2.35746,2023-07-28,2023-08-01
45,45,10,AMZN,2.07966,2023-08-02,2023-08-04
46,45,14,NVDA,2.54172,2023-08-02,2023-08-04
47,46,14,NVDA,2.4028,2023-08-07,2023-08-09
48,47,14,NVDA,2.42133,2023-08-10,2023-08-14
49,48,14,NVDA,2.42766,2023-08-15,2023-08-17
50,49,14,NVDA,2.39416,2023-08-18,2023-08-22
51,50,14,NVDA,2.39719,2023-08-23,2023-08-25
52,51,14,NVDA,2.41265,2023-08-28,2023-08-30
53,52,14,NVDA,2.29594,2023-08-31,2023-09-05
54,53,14,NVDA,2.36112,2023-09-06,2023-09-08
55,54,14,NVDA,2.37642,2023-09-11,2023-09-13
56,55,14,NVDA,2.36429,2023-09-14,2023-09-18
57,56,14,NVDA,2.30269,2023-09-19,2023-09-21
58,57,14,NVDA,2.37508,2023-09-22,2023-09-26
59,58,14,NVDA,2.34121,2023-09-27,2023-09-29
60,59,14,NVDA,2.55352,2023-10-02,2023-10-04
61,60,14,NVDA,2.52435,2023-10-05,2023-10-09
62,61,14,NVDA,2.48811,2023-10-10,2023-10-12
63,62,14,NVDA,2.47394,2023-10-13,2023-10-17
64,63,14,NVDA,2.435,2023-10-18,2023-10-20
65,64,14,NVDA,2.39607,2023-10-23,2023-10-25
66,65,14,NVDA,2.31101,2023-10-26,2023-10-30
67,66,14,NVDA,2.49202,2023-10-31,2023-11-02
68,67,14,NVDA,2.47128,2023-11-03,2023-11-07
69,68,14,NVDA,2.41811,2023-11-08,2023-11-10
70,69,14,NVDA,2.35805,2023-11-13,2023-11-15
71,70,14,NVDA,2.47266,2023-11-16,2023-11-20
72,71,14,NVDA,2.43081,2023-11-21,2023-11-24
73,72,14,NVDA,2.54508,2023-11-27,2023-11-29
74,73,14,NVDA,2.43323,2023-11-30,2023-12-04
75,74,14,NVDA,2.3183,2023-12-05,2023-12-07
76,75,14,NVDA,2.25601,2023-12-08,2023-12-12
77,76,14,NVDA,2.40288,2023-12-13,2023-12-15
78,77,14,NVDA,2.4024,2023-12-18,2023-12-20
79,78,14,NVDA,2.3426,2023-12-21,2023-12-26
80,79,14,NVDA,2.42245,2023-12-27,2023-12-29
81,80,14,NVDA,2.3999,2024-01-02,2024-01-04
82,81,14,NVDA,2.49861,2024-01-05,2024-01-09
83,82,14,NVDA,2.33452,2024-01-10,2024-01-12
84,83,14,NVDA,2.38726,2024-01-16,2024-01-18
85,84,14,NVDA,2.38503,2024-01-19,2024-01-23
86,85,14,NVDA,2.39362,2024-01-24,2024-01-26
87,86,14,NVDA,2.32898,2024-01-29,2024-01-31
88,87,14,NVDA,2.37943,2024-02-01,2024-02-05
89,88,14,NVDA,2.47769,2024-02-06,2024-02-08
90,89,14,NVDA,2.48371,2024-02-09,2024-02-13
91,90,14,NVDA,2.4423,2024-02-14,2024-02-16
92,91,14,NVDA,2.62457,2024-02-20,2024-02-22
93,92,14,NVDA,2.46702,2024-02-23,2024-02-27
94,93,14,NVDA,2.48518,2024-02-28,2024-03-01
95,94,14,NVDA,2.38493,2024-03-04,2024-03-06
96,95,14,NVDA,2.44122,2024-03-07,2024-03-11
97,96,14,NVDA,2.38193,2024-03-12,2024-03-14
98,97,14,NVDA,2.39358,2024-03-15,2024-03-19
99,98,14,NVDA,2.36697,2024-03-20,2024-03-22
100,99,14,NVDA,2.4111,2024-03-25,2024-03-27
101,100,14,NVDA,2.48128,2024-03-28,2024-04-02
102,101,14,NVDA,2.40066,2024-04-03,2024-04-05
103,102,14,NVDA,2.5284,2024-04-08,2024-04-10
104,103,14,NVDA,2.22805,2024-04-11,2024-04-15
105,104,14,NVDA,2.50391,2024-04-16,2024-04-18
106,105,14,NVDA,2.42035,2024-04-19,2024-04-23
107,106,14,NVDA,2.27017,2024-04-24,2024-04-26
108,107,14,NVDA,2.4595,2024-04-29,2024-05-01
109,108,14,NVDA,2.45755,2024-05-02,2024-05-06
110,108,27,AAPL,2.12498,2024-05-02,2024-05-06
111,109,14,NVDA,2.4499,2024-05-07,2024-05-09
112,110,14,NVDA,2.3811,2024-05-10,2024-05-14
113,111,14,NVDA,2.36356,2024-05-15,2024-05-17
114,112,14,NVDA,2.43053,2024-05-20,2024-05-22
115,113,14,NVDA,2.51895,2024-05-23,2024-05-28
116,114,14,NVDA,2.47531,2024-05-29,2024-05-31
117,115,14,NVDA,2.39099,2024-06-03,2024-06-05
118,116,14,NVDA,2.43434,2024-06-06,2024-06-10
119,117,14,NVDA,2.12538,2024-06-11,2024-06-13
120,117,27,AAPL,2.20851,2024-06-11,2024-06-13
121,118,14,NVDA,2.28565,2024-06-14,2024-06-18
122,119,14,NVDA,2.31021,2024-06-20,2024-06-24
123,120,14,NVDA,2.3681,2024-06-25,2024-06-27
124,121,14,NVDA,2.40378,2024-06-28,2024-07-02
125,122,14,NVDA,2.41616,2024-07-03,2024-07-08
126,123,14,NVDA,2.33334,2024-07-09,2024-07-11
127,124,14,NVDA,2.53258,2024-07-12,2024-07-16
128,125,14,NVDA,2.35777,2024-07-17,2024-07-19
129,126,14,NVDA,2.31762,2024-07-22,2024-07-24
130,127,14,NVDA,2.25327,2024-07-25,2024-07-29
131,128,14,NVDA,2.40925,2024-07-30,2024-08-01
132,129,14,NVDA,2.34517,2024-08-02,2024-08-06
133,130,14,NVDA,2.40458,2024-08-07,2024-08-09
134,131,14,NVDA,2.38471,2024-08-12,2024-08-14
135,132,14,NVDA,2.28829,2024-08-15,2024-08-19
136,133,14,NVDA,2.38281,2024-08-20,2024-08-22
137,134,14,NVDA,2.44829,2024-08-23,2024-08-27
138,135,14,NVDA,2.45269,2024-08-28,2024-08-30
139,136,14,NVDA,2.47173,2024-09-03,2024-09-05
140,137,14,NVDA,2.2931,2024-09-06,2024-09-10
141,138,14,NVDA,2.29773,2024-09-11,2024-09-13
142,139,14,NVDA,2.29055,2024-09-16,2024-09-18
143,140,14,NVDA,2.3788,2024-09-19,2024-09-23
144,140,27,AAPL,2.23235,2024-09-19,2024-09-23
145,141,14,NVDA,2.45902,2024-09-24,2024-09-26
146,142,14,NVDA,2.39512,2024-09-27,2024-10-01
147,143,14,NVDA,2.2306,2024-10-02,2024-10-04
148,144,14,NVDA,2.31168,2024-10-07,2024-10-09
149,145,14,NVDA,2.34391,2024-10-10,2024-10-14
150,146,14,NVDA,2.36274,2024-10-15,2024-10-17
151,147,14,NVDA,2.49246,2024-10-18,2024-10-22
152,148,14,NVDA,2.34361,2024-10-23,2024-10-25
153,149,14,NVDA,2.30616,2024-10-28,2024-10-30
154,150,14,NVDA,2.339,2024-10-31,2024-11-04
155,151,14,NVDA,2.55383,2024-11-05,2024-11-07
156,152,14,NVDA,2.35879,2024-11-08,2024-11-12
157,153,14,NVDA,2.42342,2024-11-13,2024-11-15
158,154,14,NVDA,2.43857,2024-11-18,2024-11-20
159,155,14,NVDA,2.40306,2024-11-21,2024-11-25
160,156,14,NVDA,2.40812,2024-11-26,2024-11-29
161,157,14,NVDA,2.43019,2024-12-02,2024-12-04
162,158,14,NVDA,2.3455,2024-12-05,2024-12-09
163,159,14,NVDA,2.40724,2024-12-10,2024-12-12
164,160,14,NVDA,2.43537,2024-12-13,2024-12-17
165,161,14,NVDA,2.40978,2024-12-18,2024-12-20
166,162,14,NVDA,2.48872,2024-12-23,2024-12-26
167,163,14,NVDA,2.41693,2024-12-27,2024-12-31
168,164,14,NVDA,2.45179,2025-01-02,2025-01-06
169,165,14,NVDA,2.37376,2025-01-07,2025-01-10
170,166,14,NVDA,2.45289,2025-01-13,2025-01-15
171,167,14,NVDA,2.31422,2025-01-16,2025-01-21
172,168,14,NVDA,2.33873,2025-01-22,2025-01-24
173,169,14,NVDA,2.4613,2025-01-27,2025-01-29
174,170,14,NVDA,2.38756,2025-01-30,2025-02-03
175,171,14,NVDA,2.37568,2025-02-04,2025-02-06
176,172,14,NVDA,2.43412,2025-02-07,2025-02-11
177,173,14,NVDA,2.54125,2025-02-12,2025-02-14
178,174,14,NVDA,2.64624,2025-02-18,2025-02-20
179,175,14,NVDA,2.509,2025-02-21,2025-02-25
180,176,14,NVDA,2.57814,2025-02-26,2025-02-28
181,177,14,NVDA,2.43937,2025-03-03,2025-03-05
182,178,14,NVDA,2.47583,2025-03-06,2025-03-10
183,179,14,NVDA,2.43532,2025-03-11,2025-03-13
184,180,14,NVDA,2.47081,2025-03-14,2025-03-18
185,181,14,NVDA,2.39283,2025-03-19,2025-03-21
