feature_index,feature_name,importance_score
0,feature_0,6.877
1,feature_1,6.849
2,feature_2,9.624
3,feature_3,9.509
4,feature_4,9.426
5,feature_5,9.513
6,feature_6,9.609
7,feature_7,9.603
8,feature_8,6.881
9,feature_9,6.879
10,feature_10,9.588
11,feature_11,9.296
12,feature_12,6.879
13,feature_13,9.433
14,feature_14,9.399
