window_index,anomaly_score,start_date,end_date,top_anomalous_stocks
0,2.0847922960113867,2023-11-22,2023-11-27,"NVDA (0.0185), LLY (0.0136), META (0.0135)"
15,1.9197180248591255,2023-12-14,2023-12-18,"LLY (0.0274), AMZN (0.0191), MSFT (0.0187)"
