index,subsequence_idx,score
32,32,2.04466
33,33,1.9167
35,35,2.0649
36,36,2.07741
37,37,2.19854
39,39,2.00114
40,40,2.10372
41,41,2.00525
72,72,2.00472
92,92,1.94262
124,124,2.82585
136,136,2.34142
137,137,2.43319
142,142,1.9621
143,143,2.41466
144,144,2.40871
145,145,2.63456
146,146,2.86314
147,147,1.89193
166,166,1.88473
186,186,2.00758
187,187,2.33587
228,228,2.33731
251,251,1.88337
252,252,2.64133
253,253,2.23593
302,302,1.96854
321,321,2.41623
322,322,2.20709
336,336,2.06349
337,337,2.03944
338,338,2.17804
355,355,2.10212
356,356,1.99889
436,436,2.20362
437,437,1.88619
493,493,1.97602
494,494,2.75809
495,495,2.85708
536,536,1.94174
545,545,2.41881
