index,subsequence_idx,score
40,40,2.08454
41,41,2.09934
67,67,1.88109
81,81,2.08146
82,82,2.19925
102,102,1.85982
103,103,1.90155
107,107,1.87382
142,142,1.89195
158,158,2.11012
205,205,2.33218
206,206,2.18214
259,259,1.99356
260,260,2.56832
261,261,2.17184
271,271,2.34922
272,272,2.7368
273,273,1.94958
288,288,2.09925
289,289,2.82014
290,290,2.49484
291,291,2.22131
331,331,2.14221
332,332,2.12872
343,343,1.91823
344,344,2.20218
358,358,2.10771
385,385,2.10673
393,393,1.87454
412,412,2.16721
413,413,1.88764
431,431,1.98615
454,454,1.85156
496,496,2.26835
497,497,2.04339
517,517,2.15762
519,519,2.33703
527,527,1.86444
