index,subsequence_idx,score
8,8,2.30321
9,9,2.42095
10,10,2.7398
11,11,2.19354
12,12,2.22982
13,13,2.13536
14,14,2.17102
28,28,1.90266
41,41,1.89474
67,67,2.3582
72,72,2.40389
73,73,2.17677
74,74,2.42257
75,75,1.96675
92,92,1.90676
121,121,2.09774
124,124,1.88486
136,136,2.31549
137,137,1.90854
186,186,2.02325
187,187,2.20171
196,196,1.88336
218,218,1.90943
229,229,2.62239
238,238,1.88199
239,239,2.10755
251,251,1.91761
289,289,2.01812
324,324,2.1064
325,325,2.06852
337,337,2.07802
338,338,1.88677
343,343,2.31489
344,344,2.33842
356,356,2.75665
357,357,2.37106
367,367,1.97164
384,384,2.03091
385,385,2.28128
386,386,2.02891
419,419,1.89331
421,421,1.96249
429,429,1.93657
430,430,2.80876
431,431,2.50501
452,452,2.57284
453,453,2.26891
481,481,1.92301
483,483,2.10047
485,485,2.25765
495,495,2.07217
524,524,2.48314
