index,date,score,start_date,end_date
11,2023-02-02,3.24717,2023-02-02,2023-02-02
92,2023-05-31,3.08515,2023-05-31,2023-05-31
107,2023-06-22,3.02757,2023-06-22,2023-06-22
108,2023-06-23,3.38827,2023-06-23,2023-06-23
109,2023-06-26,2.93021,2023-06-26,2023-06-26
126,2023-07-20,3.1556,2023-07-20,2023-07-20
189,2023-10-18,3.06504,2023-10-18,2023-10-18
190,2023-10-19,3.14073,2023-10-19,2023-10-19
216,2023-11-27,3.31753,2023-11-27,2023-11-27
217,2023-11-28,2.54934,2023-11-28,2023-11-28
218,2023-11-29,3.44362,2023-11-29,2023-11-29
219,2023-11-30,2.92482,2023-11-30,2023-11-30
223,2023-12-06,3.1335,2023-12-06,2023-12-06
229,2023-12-14,3.2078,2023-12-14,2023-12-14
230,2023-12-15,3.1754,2023-12-15,2023-12-15
363,2024-06-28,3.53409,2024-06-28,2024-06-28
429,2024-10-02,2.54669,2024-10-02,2024-10-02
464,2024-11-20,3.46494,2024-11-20,2024-11-20
481,2024-12-16,3.12575,2024-12-16,2024-12-16
482,2024-12-17,2.56874,2024-12-17,2024-12-17
483,2024-12-18,3.11781,2024-12-18,2024-12-18
484,2024-12-19,3.16769,2024-12-19,2024-12-19
485,2024-12-20,3.12629,2024-12-20,2024-12-20
540,2025-03-14,3.22958,2025-03-14,2025-03-14
541,2025-03-17,3.15044,2025-03-17,2025-03-17
543,2025-03-19,3.11613,2025-03-19,2025-03-19
545,2025-03-21,3.40247,2025-03-21,2025-03-21
547,2025-03-25,3.3287,2025-03-25,2025-03-25
