index,date,score,start_date,end_date
25,2023-02-23,4.2834,2023-02-23,2023-02-23
41,2023-03-17,3.08205,2023-03-17,2023-03-17
44,2023-03-22,2.84533,2023-03-22,2023-03-22
84,2023-05-18,2.55676,2023-05-18,2023-05-18
89,2023-05-25,5.29532,2023-05-25,2023-05-25
91,2023-05-30,3.53711,2023-05-30,2023-05-30
92,2023-05-31,3.93008,2023-05-31,2023-05-31
102,2023-06-14,2.47119,2023-06-14,2023-06-14
122,2023-07-14,2.72904,2023-07-14,2023-07-14
127,2023-07-21,3.82227,2023-07-21,2023-07-21
149,2023-08-22,2.63544,2023-08-22,2023-08-22
150,2023-08-23,2.78862,2023-08-23,2023-08-23
151,2023-08-24,4.44975,2023-08-24,2023-08-24
152,2023-08-25,3.55354,2023-08-25,2023-08-25
155,2023-08-30,2.51889,2023-08-30,2023-08-30
188,2023-10-17,2.81,2023-10-17,2023-10-17
214,2023-11-22,3.43685,2023-11-22,2023-11-22
245,2024-01-09,2.76573,2024-01-09,2024-01-09
275,2024-02-22,3.16157,2024-02-22,2024-02-22
276,2024-02-23,2.87356,2024-02-23,2024-02-23
286,2024-03-08,4.41927,2024-03-08,2024-03-08
315,2024-04-19,3.22678,2024-04-19,2024-04-19
339,2024-05-23,2.97199,2024-05-23,2024-05-23
487,2024-12-24,2.61129,2024-12-24,2024-12-24
507,2025-01-27,2.92104,2025-01-27,2025-01-27
