index,date,score,start_date,end_date
35,2023-03-09,3.28892,2023-03-09,2023-03-09
36,2023-03-10,3.65002,2023-03-10,2023-03-10
37,2023-03-13,3.82177,2023-03-13,2023-03-13
38,2023-03-14,3.38538,2023-03-14,2023-03-14
39,2023-03-15,3.50907,2023-03-15,2023-03-15
40,2023-03-16,3.28239,2023-03-16,2023-03-16
41,2023-03-17,3.68159,2023-03-17,2023-03-17
42,2023-03-20,3.06515,2023-03-20,2023-03-20
46,2023-03-24,3.04279,2023-03-24,2023-03-24
47,2023-03-27,2.40219,2023-03-27,2023-03-27
60,2023-04-14,3.88517,2023-04-14,2023-04-14
71,2023-05-01,2.59214,2023-05-01,2023-05-01
122,2023-07-14,3.37016,2023-07-14,2023-07-14
166,2023-09-15,2.45869,2023-09-15,2023-09-15
186,2023-10-13,3.40725,2023-10-13,2023-10-13
230,2023-12-15,2.54683,2023-12-15,2023-12-15
248,2024-01-12,2.42386,2024-01-12,2024-01-12
310,2024-04-12,3.42271,2024-04-12,2024-04-12
358,2024-06-21,2.69702,2024-06-21,2024-06-21
413,2024-09-10,3.35385,2024-09-10,2024-09-10
421,2024-09-20,2.6993,2024-09-20,2024-09-20
454,2024-11-06,3.27862,2024-11-06,2024-11-06
485,2024-12-20,3.45032,2024-12-20,2024-12-20
535,2025-03-07,2.57845,2025-03-07,2025-03-07
536,2025-03-10,2.41459,2025-03-10,2025-03-10
545,2025-03-21,2.46449,2025-03-21,2025-03-21
