index,date,score,start_date,end_date
28,2023-02-28,2.61885,2023-02-28,2023-02-28
87,2023-05-23,4.82377,2023-05-23,2023-05-23
88,2023-05-24,2.60181,2023-05-24,2023-05-24
89,2023-05-25,2.83601,2023-05-25,2023-05-25
92,2023-05-31,5.28638,2023-05-31,2023-05-31
93,2023-06-01,2.62005,2023-06-01,2023-06-01
95,2023-06-05,2.52779,2023-06-05,2023-06-05
98,2023-06-08,2.70368,2023-06-08,2023-06-08
103,2023-06-15,2.56802,2023-06-15,2023-06-15
104,2023-06-16,4.43288,2023-06-16,2023-06-16
108,2023-06-23,4.62666,2023-06-23,2023-06-23
166,2023-09-15,2.53003,2023-09-15,2023-09-15
168,2023-09-19,2.58799,2023-09-19,2023-09-19
215,2023-11-24,3.08411,2023-11-24,2023-11-24
219,2023-11-30,2.54032,2023-11-30,2023-11-30
230,2023-12-15,4.27623,2023-12-15,2023-12-15
266,2024-02-08,2.59118,2024-02-08,2024-02-08
278,2024-02-27,4.35121,2024-02-27,2024-02-27
279,2024-02-28,2.54902,2024-02-28,2024-02-28
280,2024-02-29,2.52708,2024-02-29,2024-02-29
291,2024-03-15,2.70532,2024-03-15,2024-03-15
337,2024-05-21,2.7974,2024-05-21,2024-05-21
357,2024-06-20,2.76303,2024-06-20,2024-06-20
364,2024-07-01,2.57756,2024-07-01,2024-07-01
421,2024-09-20,2.70088,2024-09-20,2024-09-20
423,2024-09-24,3.60652,2024-09-24,2024-09-24
485,2024-12-20,2.60871,2024-12-20,2024-12-20
532,2025-03-04,3.21965,2025-03-04,2025-03-04
536,2025-03-10,2.56693,2025-03-10,2025-03-10
537,2025-03-11,2.57567,2025-03-11,2025-03-11
