index,subsequence_idx,score
9,9,2.4622
24,24,4.06958
35,35,3.09303
47,47,2.90532
54,54,2.71079
58,58,2.49798
70,70,3.16148
92,92,3.3488
104,104,2.57221
179,179,2.92425
