index,subsequence_idx,score
44,44,2.86404
45,45,2.78686
47,47,2.59197
50,50,2.57337
51,51,2.55985
52,52,2.47542
90,90,2.98471
101,101,2.88646
113,113,2.87735
188,188,2.93418
189,189,2.99141
191,191,2.89231
255,255,3.38997
256,256,3.20611
258,258,3.16004
324,324,2.96634
325,325,2.99482
326,326,2.68337
395,395,3.2672
396,396,3.1293
397,397,3.02772
472,472,4.23179
473,473,4.17433
474,474,4.13051
475,475,2.88894
477,477,2.91517
478,478,2.78964
480,480,2.79819
485,485,2.62279
486,486,2.67946
487,487,2.50342
