index,subsequence_idx,score,start_date,end_date
47,47,3.11422,2024-09-19,2024-09-23
70,70,3.72635,2024-12-18,2024-12-20
79,79,2.52304,2023-03-31,2023-04-04
92,92,3.68829,2025-03-19,2025-03-21
106,106,3.77127,2023-05-26,2023-05-31
108,108,2.67045,2023-06-06,2023-06-08
172,172,2.91312,2024-02-14,2024-02-16
