Price,Close,High,Low,Open,Volume
Ticker,DGX,DGX,DGX,DGX,DGX
Date,,,,,
2023-01-03,147.96400451660156,148.55293022632512,146.34919839713876,148.19196827823112,841300
2023-01-04,146.83364868164062,149.47433544098482,145.95975369958265,148.8474060535943,796000
2023-01-05,146.75765991210938,146.83365267271955,144.7533961451947,145.98825314036995,1059700
2023-01-06,147.8405303955078,148.6194453159403,146.33970599532128,147.60305845549354,768100
2023-01-09,145.26634216308594,149.07540172359717,144.6489208573072,148.30599488299526,1223200
2023-01-10,144.89584350585938,145.41828456802565,143.60399583129094,145.26629907828018,1004900
2023-01-11,145.1807861328125,146.11168621671047,143.44249045875574,145.23777705751414,1649800
2023-01-12,140.6973419189453,146.11171265127177,140.64985913585764,146.11171265127177,1797500
2023-01-13,140.5263671875,141.53324567660775,139.57647963262343,140.1274161537479,1312200
2023-01-17,140.78399658203125,141.3755613983897,139.62947555494895,140.698127087867,1304100
2023-01-18,138.44635009765625,140.85078336129214,138.4272631342374,140.72675449678766,937100
2023-01-19,138.63717651367188,139.2573645155098,137.6544090011111,138.4463505561131,974700
2023-01-20,138.76119995117188,140.57408287479083,137.8452295670814,139.0760693204176,948400
2023-01-23,140.2687530517578,140.82215851158858,137.91201538622286,138.64671059864665,1009300
2023-01-24,137.30137634277344,139.88711412939062,136.9960576988139,139.1619696107843,841200
2023-01-25,138.2650604248047,138.427263216243,136.69071352127884,137.04375682884435,526600
2023-01-26,140.2305908203125,140.33554727708648,138.31276599280966,138.32230219466663,758700
2023-01-27,138.95204162597656,140.5740840540206,138.55130275968946,140.01114240083777,1025200
2023-01-30,139.0760955810547,140.9176020169506,138.9329797312317,139.2669361262713,719600
2023-01-31,141.67135620117188,141.80493583458744,139.04745910551105,139.58177763917334,1136000
2023-02-01,141.8240203857422,142.1102666122155,139.12379003706567,141.36603515883758,1519900
2023-02-02,138.7993927001953,143.6655351625253,136.74798798006742,140.42143533460907,3043000
2023-02-03,136.26136779785156,138.41774359201972,133.45618076022367,138.38910586390094,1316000
2023-02-06,138.72305297851562,139.30508164171096,135.80337345986263,136.49035858885014,2301500
2023-02-07,139.228759765625,139.8012522731123,137.77845608998922,137.90249953039896,928400
2023-02-08,139.57225036621094,140.23061237269792,138.95206229119253,139.2096708127047,895700
2023-02-09,139.32415771484375,140.29737443892398,138.6657958044391,140.1447224125951,1111800
2023-02-10,138.1601104736328,140.50729751807162,138.06469021107372,139.38141412713176,922300
2023-02-13,139.56271362304688,139.6104237576535,138.13149693938138,138.28414898739805,721200
2023-02-14,137.959716796875,139.32415067658528,136.76703645685274,139.32415067658528,851900
2023-02-15,139.8966522216797,140.12565212705843,137.1296391873578,137.48266796894745,920800
2023-02-16,139.93482971191406,140.5263946169971,136.95788910261498,138.31278704504547,783200
2023-02-17,141.42327880859375,142.0911769516319,140.06839555869135,140.1733520211036,940200
2023-02-21,136.99607849121094,141.1370624121948,136.967455318967,140.38329461128666,791100
2023-02-22,137.18687438964844,138.21735204158472,135.72703468917726,137.01513539386946,1260000
2023-02-23,135.90830993652344,138.09329387326778,135.42168704892745,137.45401896986147,729300
2023-02-24,133.5706787109375,135.13547493184743,133.34167881552824,134.93509820347833,714500
2023-02-27,132.30166625976562,134.4484911640103,132.11084029120596,134.41986799668075,1166200
2023-02-28,132.01544189453125,132.2539780345142,130.19302229087972,131.88186223850443,1881500
2023-03-01,132.62608337402344,132.72150364612975,130.05943238071214,131.12806954467334,1545400
2023-03-02,133.3035125732422,133.63745435785665,131.58604984393824,132.18715087987917,3140900
2023-03-03,134.34353637695312,134.60115944522786,133.26534853043404,134.18133357369518,1277900
2023-03-06,133.89508056640625,134.50573237800242,133.31305192104992,134.16223982403662,1226100
2023-03-07,131.40475463867188,134.47710046057352,130.908595524323,134.10498476458355,928300
