index,date,score,start_date,end_date
100,2023-06-12,3.71703,2023-06-12,2023-06-12
101,2023-06-13,3.71341,2023-06-13,2023-06-13
102,2023-06-14,2.82609,2023-06-14,2023-06-14
103,2023-06-15,2.87555,2023-06-15,2023-06-15
162,2023-09-11,2.61977,2023-09-11,2023-09-11
163,2023-09-12,4.14634,2023-09-12,2023-09-12
164,2023-09-13,2.83431,2023-09-13,2023-09-13
166,2023-09-15,2.7439,2023-09-15,2023-09-15
191,2023-10-20,2.66701,2023-10-20,2023-10-20
227,2023-12-12,3.98416,2023-12-12,2023-12-12
228,2023-12-13,3.11108,2023-12-13,2023-12-13
229,2023-12-14,2.73222,2023-12-14,2023-12-14
230,2023-12-15,3.32447,2023-12-15,2023-12-15
288,2024-03-12,3.86655,2024-03-12,2024-03-12
352,2024-06-12,3.56621,2024-06-12,2024-06-12
363,2024-06-28,2.7881,2024-06-28,2024-06-28
413,2024-09-10,3.53428,2024-09-10,2024-09-10
416,2024-09-13,2.80307,2024-09-13,2024-09-13
417,2024-09-16,2.85776,2024-09-16,2024-09-16
477,2024-12-10,2.92164,2024-12-10,2024-12-10
503,2025-01-21,3.32849,2025-01-21,2025-01-21
504,2025-01-22,3.84607,2025-01-22,2025-01-22
507,2025-01-27,3.61245,2025-01-27,2025-01-27
536,2025-03-10,2.56926,2025-03-10,2025-03-10
537,2025-03-11,2.82925,2025-03-11,2025-03-11
