index,date,score,start_date,end_date
20,2023-02-15,3.67703,2023-02-15,2023-02-15
21,2023-02-16,2.37349,2023-02-16,2023-02-16
41,2023-03-17,3.06852,2023-03-17,2023-03-17
78,2023-05-10,2.75394,2023-05-10,2023-05-10
104,2023-06-16,2.34032,2023-06-16,2023-06-16
140,2023-08-09,3.60556,2023-08-09,2023-08-09
145,2023-08-16,3.29129,2023-08-16,2023-08-16
170,2023-09-21,2.40256,2023-09-21,2023-09-21
204,2023-11-08,2.53281,2023-11-08,2023-11-08
270,2024-02-14,3.66916,2024-02-14,2024-02-14
271,2024-02-15,2.54479,2024-02-15,2024-02-15
285,2024-03-07,2.3066,2024-03-07,2024-03-07
329,2024-05-09,2.36823,2024-05-09,2024-05-09
330,2024-05-10,3.9941,2024-05-10,2024-05-10
358,2024-06-21,2.97772,2024-06-21,2024-06-21
391,2024-08-08,2.84808,2024-08-08,2024-08-08
392,2024-08-09,3.51276,2024-08-09,2024-08-09
456,2024-11-08,4.02225,2024-11-08,2024-11-08
471,2024-12-02,2.70518,2024-12-02,2024-12-02
517,2025-02-10,2.34006,2025-02-10,2025-02-10
525,2025-02-21,5.06925,2025-02-21,2025-02-21
526,2025-02-24,3.58227,2025-02-24,2025-02-24
527,2025-02-25,2.58814,2025-02-25,2025-02-25
528,2025-02-26,2.33155,2025-02-26,2025-02-26
529,2025-02-27,2.3394,2025-02-27,2025-02-27
530,2025-02-28,3.46109,2025-02-28,2025-02-28
531,2025-03-03,2.52489,2025-03-03,2025-03-03
535,2025-03-07,2.79085,2025-03-07,2025-03-07
536,2025-03-10,2.44864,2025-03-10,2025-03-10
537,2025-03-11,2.77157,2025-03-11,2025-03-11
538,2025-03-12,2.92062,2025-03-12,2025-03-12
545,2025-03-21,2.44137,2025-03-21,2025-03-21
