index,date,score,start_date,end_date
11,2023-02-02,4.19698,2023-02-02,2023-02-02
41,2023-03-17,3.35894,2023-03-17,2023-03-17
73,2023-05-03,3.59532,2023-05-03,2023-05-03
139,2023-08-08,4.31353,2023-08-08,2023-08-08
204,2023-11-08,2.97238,2023-11-08,2023-11-08
205,2023-11-09,2.77728,2023-11-09,2023-11-09
242,2024-01-04,2.77592,2024-01-04,2024-01-04
260,2024-01-31,2.5326,2024-01-31,2024-01-31
262,2024-02-02,2.92947,2024-02-02,2024-02-02
263,2024-02-05,3.88735,2024-02-05,2024-02-05
264,2024-02-06,3.44986,2024-02-06,2024-02-06
265,2024-02-07,2.52981,2024-02-07,2024-02-07
322,2024-04-30,2.94667,2024-04-30,2024-04-30
376,2024-07-18,3.10166,2024-07-18,2024-07-18
391,2024-08-08,3.35668,2024-08-08,2024-08-08
392,2024-08-09,2.94066,2024-08-09,2024-08-09
421,2024-09-20,3.51569,2024-09-20,2024-09-20
449,2024-10-30,4.57745,2024-10-30,2024-10-30
450,2024-10-31,2.93058,2024-10-31,2024-10-31
454,2024-11-06,3.23836,2024-11-06,2024-11-06
456,2024-11-08,2.86307,2024-11-08,2024-11-08
461,2024-11-15,2.84031,2024-11-15,2024-11-15
462,2024-11-18,3.3764,2024-11-18,2024-11-18
468,2024-11-26,2.90734,2024-11-26,2024-11-26
485,2024-12-20,3.52181,2024-12-20,2024-12-20
499,2025-01-14,3.59313,2025-01-14,2025-01-14
515,2025-02-06,2.93235,2025-02-06,2025-02-06
536,2025-03-10,2.40027,2025-03-10,2025-03-10
545,2025-03-21,2.39847,2025-03-21,2025-03-21
