index,date,score,start_date,end_date
1,2023-01-19,2.37305,2023-01-19,2023-01-19
11,2023-02-02,2.9639,2023-02-02,2023-02-02
12,2023-02-03,3.82117,2023-02-03,2023-02-03
75,2023-05-05,2.91607,2023-05-05,2023-05-05
92,2023-05-31,2.41573,2023-05-31,2023-05-31
95,2023-06-05,3.10718,2023-06-05,2023-06-05
104,2023-06-16,2.44553,2023-06-16,2023-06-16
137,2023-08-04,2.91699,2023-08-04,2023-08-04
160,2023-09-07,2.96341,2023-09-07,2023-09-07
166,2023-09-15,2.84331,2023-09-15,2023-09-15
230,2023-12-15,3.35431,2023-12-15,2023-12-15
262,2024-02-02,2.457,2024-02-02,2024-02-02
280,2024-02-29,3.58953,2024-02-29,2024-02-29
291,2024-03-15,3.10399,2024-03-15,2024-03-15
295,2024-03-21,2.70637,2024-03-21,2024-03-21
310,2024-04-12,2.45515,2024-04-12,2024-04-12
325,2024-05-03,4.02948,2024-05-03,2024-05-03
351,2024-06-11,4.64213,2024-06-11,2024-06-11
352,2024-06-12,4.3948,2024-06-12,2024-06-12
358,2024-06-21,4.61508,2024-06-21,2024-06-21
387,2024-08-02,2.66338,2024-08-02,2024-08-02
388,2024-08-05,4.0235,2024-08-05,2024-08-05
389,2024-08-06,2.96903,2024-08-06,2024-08-06
421,2024-09-20,4.86275,2024-09-20,2024-09-20
485,2024-12-20,3.72748,2024-12-20,2024-12-20
487,2024-12-24,2.56559,2024-12-24,2024-12-24
488,2024-12-26,2.56589,2024-12-26,2024-12-26
511,2025-01-31,2.61246,2025-01-31,2025-01-31
