index,time_period_idx,score,start_date,end_date,num_tickers,top_tickers
0,41,1.231103338844495,2023-08-02,2023-08-08,10,"MDT,TECH,HAL,STZ,BG"
1,42,1.212205585963952,2023-08-03,2023-08-09,10,"MDT,TECH,HAL,STZ,BG"
2,43,0.9286423846298588,2023-08-04,2023-08-10,10,"MDT,TECH,HAL,STZ,BG"
3,130,1.0110031904814127,2023-11-24,2023-11-30,10,"MDT,TECH,HAL,STZ,BG"
4,131,0.956940146929482,2023-11-27,2023-12-01,10,"MDT,TECH,HAL,STZ,BG"
5,255,1.1518312537252497,2024-05-08,2024-05-14,10,"MDT,TECH,HAL,STZ,BG"
6,268,9.07935023304718,2023-03-08,2023-03-14,10,"MDT,TECH,HAL,STZ,BG"
7,279,9.03996423145504,2023-03-09,2023-03-15,10,"MDT,TECH,HAL,STZ,BG"
8,284,2.2264953831189462,2024-06-14,2024-06-21,10,"MDT,TECH,HAL,STZ,BG"
9,285,2.086666872798736,2024-06-17,2024-06-24,10,"MDT,TECH,HAL,STZ,BG"
10,286,1.9604976648796544,2024-06-18,2024-06-25,10,"MDT,TECH,HAL,STZ,BG"
11,287,2.3468273185352317,2024-06-20,2024-06-26,10,"MDT,TECH,HAL,STZ,BG"
12,288,2.4095206798736615,2024-06-21,2024-06-27,10,"MDT,TECH,HAL,STZ,BG"
13,289,1.2500789493639557,2024-06-24,2024-06-28,10,"MDT,TECH,HAL,STZ,BG"
14,290,9.386083326098545,2023-03-10,2023-03-16,10,"MDT,TECH,HAL,STZ,BG"
15,293,1.017607730308508,2024-06-27,2024-07-03,10,"MDT,TECH,HAL,STZ,BG"
16,294,1.1794736434578272,2024-06-28,2024-07-05,10,"MDT,TECH,HAL,STZ,BG"
17,301,9.822872371899647,2023-03-13,2023-03-17,10,"MDT,TECH,HAL,STZ,BG"
18,312,9.00946943443613,2023-03-14,2023-03-20,10,"MDT,TECH,HAL,STZ,BG"
19,354,1.0536485950782275,2024-09-16,2024-09-20,10,"MDT,TECH,HAL,STZ,BG"
20,358,0.9074734084456259,2024-09-19,2024-09-25,10,"MDT,TECH,HAL,STZ,BG"
21,376,1.1110235300935367,2024-10-14,2024-10-18,10,"MDT,TECH,HAL,STZ,BG"
22,377,1.1375243018668286,2024-10-15,2024-10-21,10,"MDT,TECH,HAL,STZ,BG"
23,378,0.9564788965065685,2024-10-16,2024-10-22,10,"MDT,TECH,HAL,STZ,BG"
24,380,0.9891345881624943,2024-10-17,2024-10-23,10,"MDT,TECH,HAL,STZ,BG"
25,381,1.0598542075640096,2024-10-18,2024-10-24,10,"MDT,TECH,HAL,STZ,BG"
26,385,1.3024250730410878,2024-10-24,2024-10-30,10,"MDT,TECH,HAL,STZ,BG"
27,386,1.3420883799660024,2024-10-25,2024-10-31,10,"MDT,TECH,HAL,STZ,BG"
