index,subsequence_idx,score
129,129,2.54449
131,131,2.32765
143,143,2.76593
144,144,3.14605
145,145,2.38462
279,279,2.51417
287,287,2.53718
342,342,2.37303
356,356,3.00627
358,358,2.40886
393,393,2.43447
394,394,2.5115
427,427,2.53546
429,429,2.5001
495,495,2.36641
