index,window_idx,stock_idx,ticker,score,start_date,end_date
0,2,,,1.7555237186504105,2023-02-01,2023-02-03
1,13,,,1.9485623776666494,2023-02-02,2023-02-06
2,16,,,1.669829971480985,2023-06-29,2023-07-03
3,17,,,1.7148596024964256,2023-06-30,2023-07-05
4,32,,,1.6777989344980633,2023-07-21,2023-07-25
5,56,,,1.811292663211652,2023-08-22,2023-08-24
6,58,,,1.7905818188537705,2023-08-23,2023-08-25
7,59,,,1.797073637013289,2023-08-24,2023-08-28
8,129,,,1.7756383331197896,2023-11-22,2023-11-27
9,146,,,1.71478959667126,2023-02-21,2023-02-23
10,208,,,1.6960163999716111,2024-03-08,2024-03-12
11,278,,,1.6542592606620778,2024-06-07,2024-06-11
12,280,,,1.9662387117483742,2024-06-10,2024-06-12
13,281,,,1.9696994022256091,2024-06-11,2024-06-13
14,282,,,1.7644022594173987,2024-06-12,2024-06-14
15,286,,,1.7777834566849955,2024-06-18,2024-06-21
16,356,,,2.395349705688495,2024-09-18,2024-09-20
17,358,,,2.5128312475194106,2024-09-19,2024-09-23
18,359,,,2.7279435320248004,2024-09-20,2024-09-24
19,427,,,1.6498011905446082,2024-12-18,2024-12-20
20,428,,,1.7173769564651518,2024-12-19,2024-12-23
21,429,,,2.1157647834197726,2024-12-20,2024-12-24
22,452,,,2.3878257717955753,2025-01-23,2025-01-27
23,453,,,1.7591399400372425,2025-01-24,2025-01-28
24,511,,,1.6682444459176047,2023-04-26,2023-04-28
25,532,,,2.82846225335473,2023-05-23,2023-05-25
26,533,,,2.5171048929780007,2023-05-24,2023-05-26
27,534,,,2.743304990351693,2023-05-25,2023-05-30
28,536,,,1.6791856773998162,2023-05-26,2023-05-31
