window_index,anomaly_score,start_date,end_date,top_anomalous_stocks
14,-2.8647456291681546,2024-09-19,2024-09-23,"NVDA (0.0283), AAPL (0.0245), META (0.0200)"
15,-2.880158578364636,2024-09-20,2024-09-24,"NVDA (0.0283), GOOGL (0.0100), GOOG (0.0093)"
