index,subsequence_idx,score
29,29,1.92841
30,30,1.92517
35,35,2.45092
36,36,2.22146
58,58,1.95024
67,67,2.03158
73,73,2.29528
135,135,1.95251
158,158,2.09374
159,159,2.25941
216,216,2.2517
217,217,2.00859
218,218,2.35615
219,219,2.23885
220,220,2.44574
221,221,2.00527
249,249,1.9052
261,261,2.00663
278,278,2.28631
289,289,2.02552
290,290,2.14503
294,294,1.97921
307,307,2.65177
308,308,2.2435
339,339,2.36833
340,340,2.13428
341,341,2.02172
349,349,2.40749
350,350,2.35127
357,357,1.97312
384,384,2.09467
385,385,2.73564
386,386,2.92519
387,387,2.1901
400,400,2.06548
406,406,2.31808
483,483,2.37977
