feature_index,feature_name,importance_score
0,feature_0,9.459
1,feature_1,9.349
2,feature_2,6.952
3,feature_3,9.479
4,feature_4,9.527
5,feature_5,6.933
6,feature_6,9.688
7,feature_7,9.461
8,feature_8,6.945
9,feature_9,9.477
10,feature_10,6.834
11,feature_11,9.59
12,feature_12,9.437
13,feature_13,6.781
14,feature_14,9.533
