index,subsequence_idx,score
170,170,2.60782
171,171,2.53526
172,172,2.49848
211,211,3.08664
213,213,2.95444
214,214,2.87188
286,286,2.51045
287,287,2.54436
288,288,2.56281
290,290,4.75032
301,301,4.9203
312,312,4.78378
323,323,3.47204
356,356,2.93878
358,358,2.88738
359,359,2.97282
378,378,2.90755
380,380,3.01166
381,381,2.79256
427,427,3.16122
428,428,3.11371
429,429,3.22079
461,461,2.52868
462,462,2.5913
494,494,3.55532
495,495,3.58824
496,496,3.53303
532,532,2.62011
533,533,2.60478
534,534,2.51267
