sp500_anomaly_index,start_date,end_date,total_constituents,anomalous_constituents,anomaly_percentage
0,2023-02-03T00:00:00,2023-02-07T00:00:00,31,31,100.0
1,2023-08-23T00:00:00,2023-08-25T00:00:00,31,30,96.7741935483871
2,2023-09-13T00:00:00,2023-09-15T00:00:00,31,31,100.0
3,2023-10-27T00:00:00,2023-10-31T00:00:00,31,31,100.0
4,2023-10-31T00:00:00,2023-11-02T00:00:00,31,31,100.0
5,2023-11-02T00:00:00,2023-11-06T00:00:00,31,31,100.0
6,2023-11-21T00:00:00,2023-11-24T00:00:00,31,31,100.0
7,2023-12-12T00:00:00,2023-12-14T00:00:00,31,31,100.0
8,2023-12-13T00:00:00,2023-12-15T00:00:00,31,30,96.7741935483871
9,2023-12-18T00:00:00,2023-12-20T00:00:00,31,31,100.0
10,2024-04-26T00:00:00,2024-04-30T00:00:00,31,31,100.0
11,2024-04-30T00:00:00,2024-05-02T00:00:00,31,31,100.0
12,2024-05-29T00:00:00,2024-05-31T00:00:00,31,31,100.0
13,2023-03-09T00:00:00,2023-03-13T00:00:00,31,31,100.0
14,2024-06-20T00:00:00,2024-06-24T00:00:00,31,31,100.0
15,2024-08-22T00:00:00,2024-08-26T00:00:00,31,31,100.0
16,2024-08-29T00:00:00,2024-09-03T00:00:00,31,30,96.7741935483871
17,2024-08-30T00:00:00,2024-09-04T00:00:00,31,29,93.54838709677419
18,2024-09-18T00:00:00,2024-09-20T00:00:00,31,29,93.54838709677419
19,2024-09-19T00:00:00,2024-09-23T00:00:00,31,31,100.0
20,2024-11-04T00:00:00,2024-11-06T00:00:00,31,28,90.32258064516128
21,2024-11-05T00:00:00,2024-11-07T00:00:00,31,31,100.0
22,2024-12-18T00:00:00,2024-12-20T00:00:00,31,31,100.0
23,2024-12-23T00:00:00,2024-12-26T00:00:00,31,31,100.0
24,2025-02-26T00:00:00,2025-02-28T00:00:00,31,26,83.87096774193549
25,2025-02-27T00:00:00,2025-03-03T00:00:00,31,29,93.54838709677419
26,2023-04-21T00:00:00,2023-04-25T00:00:00,31,31,100.0
27,2023-05-26T00:00:00,2023-05-31T00:00:00,31,31,100.0
