index,score
35,34.2655
82,33.4682
87,33.9926
88,33.3353
190,33.4204
194,33.3337
227,34.5331
228,35.7121
229,34.5164
239,34.4216
240,36.0772
241,33.5186
302,33.9201
303,34.2506
313,33.8582
314,34.6782
315,34.0901
342,34.8252
343,34.6781
374,34.8213
375,34.8239
386,34.1268
387,33.9882
408,33.4016
448,35.4924
449,35.9167
450,33.5066
453,34.0071
454,35.0769
483,35.6116
484,34.396
485,34.0267
495,33.4796
497,33.2393
530,33.4544
535,33.6391
