index,date,score,start_date,end_date
2,2023-01-20,2.63789,2023-01-20,2023-01-20
11,2023-02-02,2.89289,2023-02-02,2023-02-02
12,2023-02-03,2.68909,2023-02-03,2023-02-03
15,2023-02-08,4.10407,2023-02-08,2023-02-08
16,2023-02-09,4.51622,2023-02-09,2023-02-09
17,2023-02-10,2.33828,2023-02-10,2023-02-10
19,2023-02-14,2.3976,2023-02-14,2023-02-14
40,2023-03-16,2.75822,2023-03-16,2023-03-16
41,2023-03-17,2.59426,2023-03-17,2023-03-17
68,2023-04-26,2.32246,2023-04-26,2023-04-26
78,2023-05-10,2.74751,2023-05-10,2023-05-10
79,2023-05-11,3.54346,2023-05-11,2023-05-11
97,2023-06-07,2.42199,2023-06-07,2023-06-07
127,2023-07-21,3.11316,2023-07-21,2023-07-21
129,2023-07-25,2.39519,2023-07-25,2023-07-25
130,2023-07-26,2.54338,2023-07-26,2023-07-26
194,2023-10-25,3.75832,2023-10-25,2023-10-25
195,2023-10-26,2.47036,2023-10-26,2023-10-26
224,2023-12-07,2.45418,2023-12-07,2023-12-07
260,2024-01-31,3.04795,2024-01-31,2024-01-31
262,2024-02-02,2.57144,2024-02-02,2024-02-02
277,2024-02-26,2.52252,2024-02-26,2024-02-26
282,2024-03-04,2.50713,2024-03-04,2024-03-04
292,2024-03-18,2.951,2024-03-18,2024-03-18
319,2024-04-25,2.6599,2024-04-25,2024-04-25
320,2024-04-26,2.59424,2024-04-26,2024-04-26
358,2024-06-21,2.56685,2024-06-21,2024-06-21
388,2024-08-05,2.76671,2024-08-05,2024-08-05
411,2024-09-06,2.32009,2024-09-06,2024-09-06
449,2024-10-30,2.883,2024-10-30,2024-10-30
465,2024-11-21,2.76229,2024-11-21,2024-11-21
477,2024-12-10,2.4523,2024-12-10,2024-12-10
478,2024-12-11,2.85209,2024-12-11,2024-12-11
485,2024-12-20,2.56955,2024-12-20,2024-12-20
513,2025-02-04,2.5436,2025-02-04,2025-02-04
514,2025-02-05,2.97501,2025-02-05,2025-02-05
