index,subsequence_idx,score
30,30,2.19924
31,31,2.08069
57,57,1.91197
103,103,2.40778
122,122,1.97318
137,137,1.93167
138,138,1.95973
216,216,1.96082
239,239,2.33663
240,240,2.75756
241,241,2.2313
260,260,2.03357
269,269,2.07987
270,270,2.0244
290,290,2.1092
291,291,2.27308
302,302,2.13894
303,303,2.11419
304,304,2.16821
310,310,1.90403
342,342,2.25121
343,343,2.81732
358,358,1.95932
399,399,2.68496
411,411,1.99885
447,447,2.53653
448,448,2.47492
449,449,2.38158
452,452,2.54015
471,471,1.98062
485,485,2.3348
511,511,2.02146
512,512,2.54894
529,529,2.24406
530,530,2.8757
