index,subsequence_idx,score
13,13,3.00542
34,34,2.45332
36,36,2.66145
55,55,2.56646
76,76,2.60585
97,97,2.99021
121,121,2.97973
140,140,2.78745
161,161,2.56609
181,181,2.77781
