index,subsequence_idx,score
15,15,2.20396
16,16,2.44997
27,27,1.87038
28,28,2.39577
65,65,1.99533
87,87,1.94441
91,91,2.81281
92,92,2.87393
93,93,1.89872
103,103,2.18409
104,104,2.6319
117,117,1.88989
150,150,2.08045
151,151,1.86976
180,180,2.07877
189,189,2.3468
190,190,2.06932
243,243,2.0185
244,244,2.30213
269,269,1.94076
273,273,2.14058
274,274,2.17881
302,302,2.87268
303,303,2.26383
304,304,2.17604
328,328,1.86813
329,329,2.06769
341,341,1.86954
342,342,2.11653
356,356,2.07109
378,378,1.85876
380,380,1.9766
403,403,1.85804
404,404,3.63774
405,405,3.25135
406,406,2.21525
445,445,1.89211
450,450,2.24353
471,471,2.15132
472,472,1.85764
