index,date,score,start_date,end_date
39,2023-03-15,3.09781,2023-03-15,2023-03-15
40,2023-03-16,2.67083,2023-03-16,2023-03-16
41,2023-03-17,4.51724,2023-03-17,2023-03-17
42,2023-03-20,2.48432,2023-03-20,2023-03-20
92,2023-05-31,2.57033,2023-05-31,2023-05-31
104,2023-06-16,3.51692,2023-06-16,2023-06-16
166,2023-09-15,4.18914,2023-09-15,2023-09-15
215,2023-11-24,2.81402,2023-11-24,2023-11-24
230,2023-12-15,3.56269,2023-12-15,2023-12-15
277,2024-02-26,3.21942,2024-02-26,2024-02-26
291,2024-03-15,3.09601,2024-03-15,2024-03-15
358,2024-06-21,3.65992,2024-06-21,2024-06-21
363,2024-06-28,2.97069,2024-06-28,2024-06-28
388,2024-08-05,3.21738,2024-08-05,2024-08-05
407,2024-08-30,3.06639,2024-08-30,2024-08-30
408,2024-09-03,3.08058,2024-09-03,2024-09-03
410,2024-09-05,2.55209,2024-09-05,2024-09-05
421,2024-09-20,3.51417,2024-09-20,2024-09-20
454,2024-11-06,2.95874,2024-11-06,2024-11-06
485,2024-12-20,4.31364,2024-12-20,2024-12-20
502,2025-01-17,2.72566,2025-01-17,2025-01-17
526,2025-02-24,3.96284,2025-02-24,2025-02-24
527,2025-02-25,2.86618,2025-02-25,2025-02-25
530,2025-02-28,3.07763,2025-02-28,2025-02-28
531,2025-03-03,2.54827,2025-03-03,2025-03-03
532,2025-03-04,2.62046,2025-03-04,2025-03-04
536,2025-03-10,2.69329,2025-03-10,2025-03-10
540,2025-03-14,2.81661,2025-03-14,2025-03-14
541,2025-03-17,2.82786,2025-03-17,2025-03-17
542,2025-03-18,2.42823,2025-03-18,2025-03-18
544,2025-03-20,2.39966,2025-03-20,2025-03-20
545,2025-03-21,3.60848,2025-03-21,2025-03-21
546,2025-03-24,2.4827,2025-03-24,2025-03-24
547,2025-03-25,2.54825,2025-03-25,2025-03-25
