window_index,start_date,end_date,iforest_score,lof_score
0,2023-11-07,2023-11-09,-1.0348826038650953,0.42095572649239843
1,2023-11-08,2023-11-10,-0.3455351068221565,0.4795418465494055
2,2023-11-09,2023-11-13,-0.039633502313681526,0.33167919240273774
3,2023-11-10,2023-11-14,1.1426346958037334,0.3585448518486691
4,2023-11-13,2023-11-15,0.6156917964617314,0.27997338760294255
5,2023-11-14,2023-11-16,0.11018929254473153,0.22154539439237966
6,2023-11-15,2023-11-17,-1.7437664661667993,0.4475876987739754
7,2023-11-16,2023-11-20,-1.872171276322495,0.3563195371952861
8,2023-11-17,2023-11-21,-0.5943067045233209,0.35813471181843265
9,2023-11-20,2023-11-22,-0.671873996395092,0.4469591013433955
10,2023-11-21,2023-11-24,0.45112128365566273,0.5088896269557341
11,2023-11-22,2023-11-27,2.312550115058693,-3.037082208480529
12,2023-11-24,2023-11-28,1.586871313840575,-2.869034123295076
13,2023-11-27,2023-11-29,0.3327947416784938,-2.3086898235419846
14,2023-11-28,2023-11-30,-1.2541554242122723,0.27845876128355157
15,2023-11-29,2023-12-01,0.08074141148841675,0.2531228953594565
16,2023-11-30,2023-12-04,-0.0854699490356691,0.11861252804705687
17,2023-12-01,2023-12-05,-0.1717166771727783,0.44294109396033965
18,2023-12-04,2023-12-06,-0.04218585522461525,0.3623265810142382
19,2023-12-05,2023-12-07,1.493382441529385,0.5197231993220894
20,2023-12-06,2023-12-08,-0.3117385924146221,0.30938178320684273
21,2023-12-07,2023-12-11,0.19638311367137568,0.09154789961330162
22,2023-12-08,2023-12-12,-1.1730228220179943,0.3402819256544886
23,2023-12-11,2023-12-13,-0.7741831524471419,0.4512627469706796
24,2023-12-12,2023-12-14,0.8091547998579993,0.4267119565196211
25,2023-12-13,2023-12-15,0.9831271233429288,0.410303708990558
